timestamp,cpu_util_experiment-baseline-with-latency-3-node-instance-2,io_read_experiment-baseline-with-latency-3-node-instance-2,io_write_experiment-baseline-with-latency-3-node-instance-2,iops_read_experiment-baseline-with-latency-3-node-instance-2,iops_write_experiment-baseline-with-latency-3-node-instance-2,cpu_util_experiment-baseline-with-latency-3-node-instance-3,io_read_experiment-baseline-with-latency-3-node-instance-3,io_write_experiment-baseline-with-latency-3-node-instance-3,iops_read_experiment-baseline-with-latency-3-node-instance-3,iops_write_experiment-baseline-with-latency-3-node-instance-3,cpu_util_experiment-baseline-with-latency-3-node-instance-1,io_read_experiment-baseline-with-latency-3-node-instance-1,io_write_experiment-baseline-with-latency-3-node-instance-1,iops_read_experiment-baseline-with-latency-3-node-instance-1,iops_write_experiment-baseline-with-latency-3-node-instance-1,cpu_util_experiment-baseline-with-latency-3-central-server-instance,io_read_experiment-baseline-with-latency-3-central-server-instance,io_write_experiment-baseline-with-latency-3-central-server-instance,iops_read_experiment-baseline-with-latency-3-central-server-instance,iops_write_experiment-baseline-with-latency-3-central-server-instance,cpu_util_experiment-baseline-with-latency-3-client-instance,io_read_experiment-baseline-with-latency-3-client-instance,io_write_experiment-baseline-with-latency-3-client-instance,iops_read_experiment-baseline-with-latency-3-client-instance,iops_write_experiment-baseline-with-latency-3-client-instance
2021-07-21 01:44:00,0.052646459479772055,0,733783,0,79,0.057401943072520105,84039,805438,1,88,0.061707211487430406,255262,674417,9,64,0.04051522280449878,0,529415,0,42,0.006233790309828179,0,28474,0,7
2021-07-21 01:43:00,0.052720257361147084,127439,698256,4,71,0.05789858880974207,335720,689696,12,68,0.060811890919815426,232150,808212,7,90,0.04100326377188897,274715,504836,11,43,0.007732671934152316,0,231624,0,43
2021-07-21 01:42:00,0.05276509641703342,60977,671747,2,68,0.05648741586217435,268867,711087,9,70,0.06053741705497846,154317,779655,2,82,0.04008369445618361,12005,539128,0,46,0.005198507172527418,0,34430,0,5
2021-07-21 01:41:00,0.05419753312171356,19393,682825,2,69,0.05641448023939688,226311,693847,9,69,0.06224688452708922,120157,667703,1,56,0.040853875416312725,0,548528,0,49,0.005714935614264504,62562,8936,1,2
2021-07-21 01:40:00,0.05522179129764737,9279,660425,1,68,0.05667108150787451,92620,768013,6,75,0.06308499187733692,38284,824521,1,97,0.039284358973764213,0,493911,0,39,0.005214402557423151,2974,23833,0,4
2021-07-21 01:39:00,0.05238033590103204,0,763527,0,82,0.05714927927463738,4155,717508,1,71,0.062086708094483356,51846,793353,1,88,0.03976917760970148,0,581781,0,51,0.005857612474985766,0,1115,0,0
2021-07-21 01:38:00,0.05219303446819859,0,749945,0,79,0.05603910544942418,37954,678491,2,67,0.06319115733347283,96924,723630,3,71,0.04078620667003462,0,464073,0,36,0.005382248376802086,0,0,0,0
2021-07-21 01:37:00,0.05340729852645864,16622,702939,3,72,0.05635410104051648,95297,694880,4,69,0.06350621270998383,35550,712709,1,71,0.1770227421625776,58868,627507,5,52,0.22430700203597098,0,0,0,0
2021-07-21 01:36:00,0.09451152333743096,625747,1253159,11,135,0.11618607301272732,38781,1451355,1,159,0.11169177330075777,1847355,1510845,60,162,0.8359856393777794,6496,2369518,1,199,0.6758148311782197,3910,2611868,1,200
2021-07-21 01:35:00,0.10718030375907024,644681,1245350,15,137,0.08713644155890894,13555,1151837,3,116,0.09695405694578339,991127,1176090,33,123,0.05248401473699715,117906,11973971,3,521,0.00583167885248533,186,1254268,0,41
