timestamp,cpu_util_experiment-syncmesh-with-latency-6-node-instance-2,io_read_experiment-syncmesh-with-latency-6-node-instance-2,io_write_experiment-syncmesh-with-latency-6-node-instance-2,iops_read_experiment-syncmesh-with-latency-6-node-instance-2,iops_write_experiment-syncmesh-with-latency-6-node-instance-2,cpu_util_experiment-syncmesh-with-latency-6-node-instance-6,io_read_experiment-syncmesh-with-latency-6-node-instance-6,io_write_experiment-syncmesh-with-latency-6-node-instance-6,iops_read_experiment-syncmesh-with-latency-6-node-instance-6,iops_write_experiment-syncmesh-with-latency-6-node-instance-6,cpu_util_experiment-syncmesh-with-latency-6-node-instance-4,io_read_experiment-syncmesh-with-latency-6-node-instance-4,io_write_experiment-syncmesh-with-latency-6-node-instance-4,iops_read_experiment-syncmesh-with-latency-6-node-instance-4,iops_write_experiment-syncmesh-with-latency-6-node-instance-4,cpu_util_experiment-syncmesh-with-latency-6-node-instance-3,io_read_experiment-syncmesh-with-latency-6-node-instance-3,io_write_experiment-syncmesh-with-latency-6-node-instance-3,iops_read_experiment-syncmesh-with-latency-6-node-instance-3,iops_write_experiment-syncmesh-with-latency-6-node-instance-3,cpu_util_experiment-syncmesh-with-latency-6-node-instance-5,io_read_experiment-syncmesh-with-latency-6-node-instance-5,io_write_experiment-syncmesh-with-latency-6-node-instance-5,iops_read_experiment-syncmesh-with-latency-6-node-instance-5,iops_write_experiment-syncmesh-with-latency-6-node-instance-5,cpu_util_experiment-syncmesh-with-latency-6-node-instance-1,io_read_experiment-syncmesh-with-latency-6-node-instance-1,io_write_experiment-syncmesh-with-latency-6-node-instance-1,iops_read_experiment-syncmesh-with-latency-6-node-instance-1,iops_write_experiment-syncmesh-with-latency-6-node-instance-1,cpu_util_experiment-syncmesh-with-latency-6-client-instance,io_read_experiment-syncmesh-with-latency-6-client-instance,io_write_experiment-syncmesh-with-latency-6-client-instance,iops_read_experiment-syncmesh-with-latency-6-client-instance,iops_write_experiment-syncmesh-with-latency-6-client-instance
2021-07-21 01:19:00,0.010545586257081572,0,165804,0,11,0.01003689994766906,0,185323,0,13,0.004192807094298996,0,330289,0,44,0.0004044153992298997,0,154519,0,9,0.00245867598673577,0,198101,0,16,0.0019679207813408555,0,308215,0,41,0.0015427012870734558,55615,1187774,7,119
2021-07-21 01:18:00,0.012144588497079074,38262,679471,4,59,0.008467361574518625,38609,709315,4,60,0.0106467402576668,39320,623565,4,47,0.012297341637395043,37384,657700,4,57,0.013318362996264987,21094003,11322276,202,125,0.012088801625126894,37895,656336,4,50,0.008400472804944195,93097,1022609,5,128
2021-07-21 01:17:00,0.012464003885007752,66541,633893,4,52,0.009160954513968514,66588,619756,4,47,0.011717124177753982,66683,665687,4,55,0.009548148199367704,66424,600984,4,48,0.018092373303941162,10790338,6117222,104,102,0.008838258364751123,66492,556615,4,35,0.014138750533362552,4411360,2338683,405,175
2021-07-21 01:16:00,0.014147276611969831,268596,480168,60,48,0.011291801346455799,270399,475942,61,45,0.011426466783537016,274094,419439,62,34,0.01216876078332607,264025,496999,59,50,0.046616761359938565,281301,394537,64,32,0.010281623753016332,266684,449332,60,42,0.04206239957529363,1225490,818570,111,42
2021-07-21 01:15:00,0.012472803038694913,146793,577244,36,42,0.007443370139671223,144596,582548,35,42,0.011330029581023913,140095,504289,34,26,0.012868040844319731,152359,601025,37,45,0.012891499709730839,131318,511959,32,26,0.009844100616862285,149121,562336,36,39,0.10521643510381502,33830,416489,3,25
2021-07-21 01:14:00,0.009944671778252236,0,478743,0,26,0.006080219832135765,0,477400,0,26,0.010500727628049173,0,474653,0,26,0.008764440833747795,0,482140,0,26,0.00834826550904714,0,469291,0,26,0.009816771833784266,0,480157,0,26,0.007153610301414185,19863,608103,1,80
2021-07-21 01:13:00,0.012011676568204935,12754,432484,1,43,0.008024210074663843,12870,293884,1,14,0.00866308321763339,13107,386497,1,36,0.007417253673354847,12461,414043,1,40,0.008008957382131735,13569,364697,1,30,0.00767877833876381,12632,384068,1,33,0.012406095390904426,381977,952061,38,80
2021-07-21 01:12:00,0.01281004257039638,20001307,10685120,187,136,0.0072851170209050995,213525,695728,2,66,0.008296302623681601,217079,641914,2,58,0.00987541355813685,207398,644415,2,59,0.009187866796543116,224010,658912,2,56,0.00831040140700967,209957,658834,2,60,0.020717397044494785,138976,454082,2,23
2021-07-21 01:11:00,0.03626456541264862,12192493,6635388,115,86,0.00833345375609588,204131,629470,2,53,0.009497943937888978,201857,558381,2,40,0.009022914306998567,208053,568006,2,41,0.009621229151917394,197421,560012,2,40,0.009045063258226033,206413,583899,2,45,0.009335059569596755,3952,517724,0,65
2021-07-21 01:10:00,0.01904890049502139,49446,310193,0,16,0.007039427343033347,48706,309106,0,16,0.00977215789403226,47189,306877,0,16,0.009058935336181998,51320,312942,0,17,0.010062584032348573,44232,302534,0,16,0.009190119893737856,50230,311343,0,16,0.015756793472130326,564098,710873,13,39
2021-07-21 01:09:00,0.008883399962649344,0,479900,0,24,0.006656587590917695,0,482090,0,24,0.008218068428177478,0,481355,0,24,0.008760867714684945,0,474327,0,23,0.009006387998073961,0,489939,0,24,0.007761419077576548,0,472514,0,24,0.03031693651259252,17534,387082,0,22
2021-07-21 01:08:00,0.008766444325277215,0,476189,0,26,0.006171523074603039,0,474828,0,26,0.007700355472241977,0,463832,0,26,0.0075541810875442055,0,479649,0,26,0.00797723266019871,0,458389,0,26,0.007260249654256571,0,469446,0,26,0.0065721777446018,0,233819,0,11
2021-07-21 01:07:00,0.009825311546802773,0,288089,0,14,0.0067772056866666945,0,287214,0,14,0.00802817229605542,0,303437,0,19,0.007637114809309212,0,290319,0,15,0.007678416680867883,0,279139,0,14,0.00752720866684046,0,285883,0,14,0.00697064188738583,0,614710,0,34
2021-07-21 01:06:00,0.009953428175129748,0,476803,0,26,0.0065628398021271295,0,499636,0,30,0.007272254064243514,0,492824,0,28,0.009189208561865964,0,471121,0,26,0.00817511103490561,0,489895,0,26,0.008114204769862354,0,471901,0,26,0.006659612284229805,0,384366,0,22
2021-07-21 01:05:00,0.009159536756065734,0,853715,0,92,0.006405499850996143,0,499871,0,33,0.008340333206035961,0,481038,0,30,0.00852040726198518,0,492111,0,30,0.008277735660545755,0,888541,0,100,0.008008382113783814,0,561962,0,44,0.0067366662330054315,0,289434,0,22
