frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1631282984.857336000,,0x00000000,169.254.169.254,10.3.0.13,134,,
1631282984.901564000,,0x00005592,10.3.0.13,74.125.131.95,52,51810,443
1631282984.902344000,,0x00000000,74.125.131.95,10.3.0.13,52,443,51810
1631282984.917370000,,0x00000000,169.254.169.254,10.3.0.13,142,,
1631282984.918043000,,0x0000944d,10.3.0.13,91.189.91.49,60,59804,443
1631282985.032033000,,0x00000000,91.189.91.49,10.3.0.13,60,443,59804
1631282985.032105000,0.114062000,0x0000944e,10.3.0.13,91.189.91.49,52,59804,443
1631282985.032690000,0.114062000,0x0000944f,10.3.0.13,91.189.91.49,569,59804,443
1631282985.146035000,0.114062000,0x0000213f,91.189.91.49,10.3.0.13,2868,443,59804
1631282985.146080000,0.114062000,0x00009450,10.3.0.13,91.189.91.49,52,59804,443
1631282985.153510000,0.114062000,0x00002141,91.189.91.49,10.3.0.13,1845,443,59804
1631282985.153541000,0.114062000,0x00009451,10.3.0.13,91.189.91.49,52,59804,443
1631282985.154354000,0.114062000,0x00009452,10.3.0.13,91.189.91.49,132,59804,443
1631282985.154458000,0.114062000,0x00009453,10.3.0.13,91.189.91.49,257,59804,443
1631282985.267339000,0.114062000,0x00002143,91.189.91.49,10.3.0.13,323,443,59804
1631282985.267384000,0.114062000,0x00009454,10.3.0.13,91.189.91.49,52,59804,443
1631282985.268199000,0.114062000,0x00002144,91.189.91.49,10.3.0.13,2868,443,59804
1631282985.268226000,0.114062000,0x00009455,10.3.0.13,91.189.91.49,52,59804,443
1631282985.275841000,0.114062000,0x00002146,91.189.91.49,10.3.0.13,2786,443,59804
1631282985.275880000,0.114062000,0x00009456,10.3.0.13,91.189.91.49,52,59804,443
1631282985.276825000,,0x00009457,10.3.0.13,91.189.91.49,52,59804,443
1631282987.849206000,,0x0000f330,10.3.0.13,8.8.8.8,60,,
1631282987.849259000,,0x0000f331,10.3.0.13,8.8.8.8,60,,
1631282987.849637000,,0x000070c6,8.8.8.8,10.3.0.13,135,,
1631282987.849839000,,0x00008f1e,8.8.8.8,10.3.0.13,135,,
1631282987.850876000,,0x0000f332,10.3.0.13,8.8.8.8,60,,
1631282987.850932000,,0x0000f333,10.3.0.13,8.8.8.8,60,,
1631282987.851334000,,0x00002563,8.8.8.8,10.3.0.13,135,,
1631282987.851375000,,0x0000ad39,8.8.8.8,10.3.0.13,135,,
1631282992.849275000,,0x0000f4d0,10.3.0.13,8.8.8.8,60,,
1631282992.849323000,,0x0000f4d1,10.3.0.13,8.8.8.8,60,,
1631282992.849752000,,0x0000f9d5,8.8.8.8,10.3.0.13,135,,
1631282992.850000000,,0x000017f4,8.8.8.8,10.3.0.13,135,,
1631282992.850881000,,0x0000f4d2,10.3.0.13,8.8.8.8,60,,
1631282992.850927000,,0x0000f4d3,10.3.0.13,8.8.8.8,60,,
1631282992.851333000,,0x0000a9dc,8.8.8.8,10.3.0.13,135,,
1631282992.851352000,,0x00008a2d,8.8.8.8,10.3.0.13,135,,
1631282995.574516000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,48418
1631282995.574516000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,48418
1631282995.574516000,,0x00000000,169.254.169.254,10.3.0.13,1336,80,48418
1631282995.574609000,,0x00009fab,10.3.0.13,169.254.169.254,40,48418,80
1631282995.574988000,,0x00009fac,10.3.0.13,169.254.169.254,267,48418,80
1631282995.575083000,,0x00000000,169.254.169.254,10.3.0.13,40,80,48418
1631282995.575177000,,0x00000000,169.254.169.254,10.3.0.13,40,80,48418
1631282997.701556000,,0x00002855,10.3.0.13,74.125.131.95,52,51804,443
1631282997.702597000,,0x00000000,74.125.131.95,10.3.0.13,52,443,51804
1631282997.849224000,,0x0000f93b,10.3.0.13,8.8.8.8,60,,
1631282997.849273000,,0x0000f93c,10.3.0.13,8.8.8.8,60,,
1631282997.849735000,,0x0000b790,8.8.8.8,10.3.0.13,135,,
1631282997.850190000,,0x0000e8bf,8.8.8.8,10.3.0.13,135,,
1631282997.851159000,,0x0000f93d,10.3.0.13,8.8.8.8,60,,
1631282997.851216000,,0x0000f93e,10.3.0.13,8.8.8.8,60,,
1631282997.851659000,,0x0000beae,8.8.8.8,10.3.0.13,135,,
1631282997.852199000,,0x0000ac6f,8.8.8.8,10.3.0.13,135,,
1631283000.005544000,,0x00005593,10.3.0.13,74.125.131.95,52,51810,443
1631283000.006419000,,0x00000000,74.125.131.95,10.3.0.13,52,443,51810
1631283002.849245000,,0x0000fe05,10.3.0.13,8.8.8.8,60,,
1631283002.849295000,,0x0000fe06,10.3.0.13,8.8.8.8,60,,
1631283002.851747000,,0x0000d8d7,8.8.8.8,10.3.0.13,135,,
