frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1631296120.849037000,,0x0000ffeb,10.1.0.11,169.254.169.254,78,,
1631296120.849151000,,0x0000ffec,10.1.0.11,169.254.169.254,78,,
1631296120.854421000,,0x00000000,169.254.169.254,10.1.0.11,134,,
1631296120.861219000,,0x00000000,169.254.169.254,10.1.0.11,142,,
1631296120.861817000,,0x000046da,10.1.0.11,91.189.91.49,60,43262,443
1631296120.894386000,,0x00000000,91.189.91.49,10.1.0.11,60,443,43262
1631296120.894450000,0.032633000,0x000046db,10.1.0.11,91.189.91.49,52,43262,443
1631296120.894980000,0.032633000,0x000046dc,10.1.0.11,91.189.91.49,569,43262,443
1631296120.927240000,0.032633000,0x00006f54,91.189.91.49,10.1.0.11,2868,443,43262
1631296120.927286000,0.032633000,0x000046dd,10.1.0.11,91.189.91.49,52,43262,443
1631296120.929373000,0.032633000,0x00006f56,91.189.91.49,10.1.0.11,1845,443,43262
1631296120.929392000,0.032633000,0x000046de,10.1.0.11,91.189.91.49,52,43262,443
1631296120.930220000,0.032633000,0x000046df,10.1.0.11,91.189.91.49,132,43262,443
1631296120.930345000,0.032633000,0x000046e0,10.1.0.11,91.189.91.49,257,43262,443
1631296120.962334000,0.032633000,0x00006f58,91.189.91.49,10.1.0.11,323,443,43262
1631296120.962379000,0.032633000,0x000046e1,10.1.0.11,91.189.91.49,52,43262,443
1631296120.962465000,0.032633000,0x00006f59,91.189.91.49,10.1.0.11,323,443,43262
1631296120.962472000,0.032633000,0x000046e2,10.1.0.11,91.189.91.49,52,43262,443
1631296120.962897000,0.032633000,0x00006f5a,91.189.91.49,10.1.0.11,2868,443,43262
1631296120.962913000,0.032633000,0x000046e3,10.1.0.11,91.189.91.49,52,43262,443
1631296120.964981000,0.032633000,0x00006f5c,91.189.91.49,10.1.0.11,2515,443,43262
1631296120.965004000,0.032633000,0x000046e4,10.1.0.11,91.189.91.49,52,43262,443
1631296120.965945000,,0x000046e5,10.1.0.11,91.189.91.49,52,43262,443
1631296121.574935000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,47190
1631296121.574935000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,47190
1631296121.574935000,,0x00000000,169.254.169.254,10.1.0.11,1378,80,47190
1631296121.575055000,,0x000037ff,10.1.0.11,169.254.169.254,40,47190,80
1631296121.575405000,,0x00003800,10.1.0.11,169.254.169.254,267,47190,80
1631296121.575610000,,0x00000000,169.254.169.254,10.1.0.11,40,80,47190
1631296121.575610000,,0x00000000,169.254.169.254,10.1.0.11,40,80,47190
1631296123.899200000,,0x00006c6e,10.1.0.11,209.85.147.95,52,51196,443
1631296123.904747000,,0x00000000,209.85.147.95,10.1.0.11,52,443,51196
1631296124.516134000,,0x0000e459,10.1.0.11,8.8.8.8,60,,
1631296124.516194000,,0x0000e45a,10.1.0.11,8.8.8.8,60,,
1631296124.526510000,,0x0000e043,8.8.8.8,10.1.0.11,135,,
1631296124.526510000,,0x00006b2c,8.8.8.8,10.1.0.11,135,,
1631296124.527960000,,0x0000e45c,10.1.0.11,8.8.8.8,60,,
1631296124.528015000,,0x0000e45d,10.1.0.11,8.8.8.8,60,,
1631296124.538645000,,0x00006eb6,8.8.8.8,10.1.0.11,135,,
1631296124.551251000,,0x00000def,8.8.8.8,10.1.0.11,135,,
1631296124.923196000,,0x0000a9d5,10.1.0.11,209.85.147.95,52,51198,443
1631296124.924042000,,0x00000000,209.85.147.95,10.1.0.11,52,443,51198
1631296128.901549000,,0x0000023b,10.1.0.11,169.254.169.254,76,,
1631296128.901956000,,0x00000000,169.254.169.254,10.1.0.11,76,,
1631296129.516181000,,0x0000e89b,10.1.0.11,8.8.8.8,60,,
1631296129.516230000,,0x0000e89c,10.1.0.11,8.8.8.8,60,,
1631296129.526559000,,0x00007966,8.8.8.8,10.1.0.11,135,,
1631296129.527189000,,0x00006868,8.8.8.8,10.1.0.11,135,,
1631296129.528285000,,0x0000e89d,10.1.0.11,8.8.8.8,60,,
1631296129.528338000,,0x0000e89e,10.1.0.11,8.8.8.8,60,,
1631296129.538536000,,0x0000b251,8.8.8.8,10.1.0.11,135,,
1631296129.548254000,,0x000041e0,8.8.8.8,10.1.0.11,135,,
1631296132.695260000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,47200
1631296132.695260000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,47200
1631296132.695260000,,0x00000000,169.254.169.254,10.1.0.11,1378,80,47200
1631296132.695403000,,0x000072f0,10.1.0.11,169.254.169.254,40,47200,80
1631296132.696086000,,0x000072f1,10.1.0.11,169.254.169.254,277,47200,80
1631296132.696230000,,0x00000000,169.254.169.254,10.1.0.11,40,80,47200
1631296132.696257000,,0x00000000,169.254.169.254,10.1.0.11,40,80,47200
1631296134.516149000,,0x0000e9ba,10.1.0.11,8.8.8.8,60,,
1631296134.516207000,,0x0000e9bb,10.1.0.11,8.8.8.8,60,,
1631296134.526420000,,0x00003cc0,8.8.8.8,10.1.0.11,135,,
1631296134.536460000,,0x00001eb7,8.8.8.8,10.1.0.11,135,,
1631296134.537656000,,0x0000e9c0,10.1.0.11,8.8.8.8,60,,
1631296134.537717000,,0x0000e9c1,10.1.0.11,8.8.8.8,60,,
1631296134.547984000,,0x00004d86,8.8.8.8,10.1.0.11,135,,
1631296134.548060000,,0x0000457c,8.8.8.8,10.1.0.11,135,,
1631296139.003174000,,0x00006c6f,10.1.0.11,209.85.147.95,52,51196,443
1631296139.004496000,,0x00000000,209.85.147.95,10.1.0.11,52,443,51196
1631296139.516115000,,0x0000eb14,10.1.0.11,8.8.8.8,60,,
1631296139.516171000,,0x0000eb15,10.1.0.11,8.8.8.8,60,,
1631296139.526261000,,0x0000bc6c,8.8.8.8,10.1.0.11,135,,
1631296139.536391000,,0x0000c6b4,8.8.8.8,10.1.0.11,135,,
1631296139.537843000,,0x0000eb16,10.1.0.11,8.8.8.8,60,,
1631296139.537908000,,0x0000eb17,10.1.0.11,8.8.8.8,60,,
1631296139.548226000,,0x00001283,8.8.8.8,10.1.0.11,135,,
1631296139.558019000,,0x0000bb09,8.8.8.8,10.1.0.11,135,,
1631296139.698617000,,0x0000696c,10.1.0.2,10.1.0.11,60,50624,8080
1631296139.698687000,,0x00000000,10.1.0.11,10.1.0.2,60,8080,50624
1631296139.699767000,0.001150000,0x0000696d,10.1.0.2,10.1.0.11,52,50624,8080
1631296139.699767000,0.001150000,0x0000696e,10.1.0.2,10.1.0.11,239,50624,8080
1631296139.699872000,0.001150000,0x0000823a,10.1.0.11,10.1.0.2,52,8080,50624
1631296139.699891000,0.001150000,0x0000696f,10.1.0.2,10.1.0.11,371,50624,8080
1631296139.699898000,0.001150000,0x0000823b,10.1.0.11,10.1.0.2,52,8080,50624
1631296139.700795000,,0x0000eb3f,10.1.0.11,8.8.8.8,60,,
1631296139.700852000,,0x0000eb40,10.1.0.11,8.8.8.8,60,,
1631296139.710994000,,0x0000c3d2,8.8.8.8,10.1.0.11,135,,
1631296139.720879000,,0x0000fcdc,8.8.8.8,10.1.0.11,135,,
1631296139.726050000,,0x0000eb41,10.1.0.11,8.8.8.8,60,,
1631296139.726126000,,0x0000eb42,10.1.0.11,8.8.8.8,60,,
1631296139.736660000,,0x000041cd,8.8.8.8,10.1.0.11,135,,
1631296139.746326000,,0x00007180,8.8.8.8,10.1.0.11,135,,
1631296139.751937000,,,,,,,
1631296139.751944000,,,,,,,
1631296139.751947000,,,,,,,
1631296139.751949000,,,,,,,
1631296139.751952000,,,,,,,
1631296139.751955000,,,,,,,
1631296139.751958000,,,,,,,
1631296139.751961000,,,,,,,
1631296139.751963000,,,,,,,
1631296139.751965000,,,,,,,
1631296139.751967000,,,,,,,
1631296139.751969000,,,,,,,
1631296139.751972000,,,,,,,
1631296139.751975000,,,,,,,
1631296139.752014000,,,,,,,
1631296139.752014000,,,,,,,
1631296139.792120000,,0x0000c2f6,10.1.0.11,10.2.0.12,60,57612,8080
1631296139.946406000,,0x00000000,10.2.0.12,10.1.0.11,60,8080,57612
1631296139.946522000,0.154402000,0x0000c2f7,10.1.0.11,10.2.0.12,52,57612,8080
1631296139.946820000,0.154402000,0x0000c2f8,10.1.0.11,10.2.0.12,429,57612,8080
1631296140.027199000,,0x0000a9d6,10.1.0.11,209.85.147.95,52,51198,443
1631296140.028248000,,0x00000000,209.85.147.95,10.1.0.11,52,443,51198
1631296140.099902000,0.154402000,0x0000c508,10.2.0.12,10.1.0.11,52,8080,57612
1631296140.166363000,0.154402000,0x0000c509,10.2.0.12,10.1.0.11,2868,8080,57612
1631296140.166363000,0.154402000,0x0000c50b,10.2.0.12,10.1.0.11,2868,8080,57612
1631296140.166466000,0.154402000,0x0000c2f9,10.1.0.11,10.2.0.12,52,57612,8080
1631296140.166473000,0.154402000,0x0000c2fa,10.1.0.11,10.2.0.12,52,57612,8080
1631296140.166475000,0.154402000,0x0000c50d,10.2.0.12,10.1.0.11,338,8080,57612
1631296140.166505000,0.154402000,0x0000c2fb,10.1.0.11,10.2.0.12,52,57612,8080
1631296140.171970000,,0x0000e850,10.1.0.11,10.3.0.13,60,34616,8080
1631296140.298713000,,0x00000000,10.3.0.13,10.1.0.11,60,8080,34616
1631296140.298830000,0.126860000,0x0000e851,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.299137000,0.126860000,0x0000e852,10.1.0.11,10.3.0.13,429,34616,8080
1631296140.423932000,0.126860000,0x00001d00,10.3.0.13,10.1.0.11,52,8080,34616
1631296140.480242000,0.126860000,0x00001d01,10.3.0.13,10.1.0.11,2868,8080,34616
1631296140.480242000,0.126860000,0x00001d03,10.3.0.13,10.1.0.11,2868,8080,34616
1631296140.480242000,0.126860000,0x00001d05,10.3.0.13,10.1.0.11,106,8080,34616
1631296140.480359000,0.126860000,0x0000e853,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.480366000,0.126860000,0x0000e854,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.480369000,0.126860000,0x0000e855,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.501059000,0.001150000,0x0000823c,10.1.0.11,10.1.0.2,7092,8080,50624
1631296140.501067000,0.001150000,0x00008241,10.1.0.11,10.1.0.2,7092,8080,50624
1631296140.501312000,0.001150000,0x00006970,10.1.0.2,10.1.0.11,52,50624,8080
1631296140.501312000,0.001150000,0x00006971,10.1.0.2,10.1.0.11,52,50624,8080
1631296140.501328000,0.001150000,0x00008246,10.1.0.11,10.1.0.2,4038,8080,50624
1631296140.501440000,0.001150000,0x00006972,10.1.0.2,10.1.0.11,52,50624,8080
1631296140.503282000,,0x00006973,10.1.0.2,10.1.0.11,52,50624,8080
1631296140.503533000,0.001150000,0x00008249,10.1.0.11,10.1.0.2,52,8080,50624
1631296140.503702000,0.001150000,0x00006974,10.1.0.2,10.1.0.11,52,50624,8080
1631296140.504440000,,0x0000f3b1,10.1.0.2,10.1.0.11,60,50626,8080
1631296140.504474000,,0x00000000,10.1.0.11,10.1.0.2,60,8080,50626
1631296140.504693000,0.000253000,0x0000f3b2,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.504693000,0.000253000,0x0000f3b3,10.1.0.2,10.1.0.11,239,50626,8080
1631296140.504693000,0.000253000,0x0000f3b4,10.1.0.2,10.1.0.11,371,50626,8080
1631296140.504733000,0.000253000,0x00007ede,10.1.0.11,10.1.0.2,52,8080,50626
1631296140.504739000,0.000253000,0x00007edf,10.1.0.11,10.1.0.2,52,8080,50626
1631296140.505632000,,0x0000eb46,10.1.0.11,8.8.8.8,60,,
1631296140.505810000,,0x0000eb47,10.1.0.11,8.8.8.8,60,,
1631296140.515771000,,0x0000eaf8,8.8.8.8,10.1.0.11,135,,
1631296140.526179000,,0x0000b3f7,8.8.8.8,10.1.0.11,135,,
1631296140.574770000,0.154402000,0x0000c2fc,10.1.0.11,10.2.0.12,429,57612,8080
1631296140.727858000,0.154402000,0x0000c50e,10.2.0.12,10.1.0.11,52,8080,57612
1631296140.786108000,0.154402000,0x0000c50f,10.2.0.12,10.1.0.11,2868,8080,57612
1631296140.786108000,0.154402000,0x0000c511,10.2.0.12,10.1.0.11,2868,8080,57612
1631296140.786205000,0.154402000,0x0000c2fd,10.1.0.11,10.2.0.12,52,57612,8080
1631296140.786211000,0.154402000,0x0000c2fe,10.1.0.11,10.2.0.12,52,57612,8080
1631296140.786213000,0.154402000,0x0000c513,10.2.0.12,10.1.0.11,338,8080,57612
1631296140.786229000,0.154402000,0x0000c2ff,10.1.0.11,10.2.0.12,52,57612,8080
1631296140.790521000,0.126860000,0x0000e856,10.1.0.11,10.3.0.13,429,34616,8080
1631296140.915407000,0.126860000,0x00001d06,10.3.0.13,10.1.0.11,52,8080,34616
1631296140.966370000,0.126860000,0x00001d07,10.3.0.13,10.1.0.11,2868,8080,34616
1631296140.966370000,0.126860000,0x00001d09,10.3.0.13,10.1.0.11,2868,8080,34616
1631296140.966370000,0.126860000,0x00001d0b,10.3.0.13,10.1.0.11,106,8080,34616
1631296140.966484000,0.126860000,0x0000e857,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.966491000,0.126860000,0x0000e858,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.966494000,0.126860000,0x0000e859,10.1.0.11,10.3.0.13,52,34616,8080
1631296140.987043000,0.000253000,0x00007ee0,10.1.0.11,10.1.0.2,7092,8080,50626
1631296140.987051000,0.000253000,0x00007ee5,10.1.0.11,10.1.0.2,7092,8080,50626
1631296140.987337000,0.000253000,0x0000f3b5,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.987337000,0.000253000,0x0000f3b6,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.987347000,0.000253000,0x00007eea,10.1.0.11,10.1.0.2,4031,8080,50626
1631296140.987513000,0.000253000,0x0000f3b7,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.987522000,0.000253000,0x00007eed,10.1.0.11,10.1.0.2,59,8080,50626
1631296140.987659000,0.000253000,0x0000f3b8,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.989118000,,0x0000f3b9,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.989530000,0.000253000,0x00007eee,10.1.0.11,10.1.0.2,52,8080,50626
1631296140.989677000,0.000253000,0x0000f3ba,10.1.0.2,10.1.0.11,52,50626,8080
1631296140.990216000,,0x00008b0e,10.1.0.2,10.1.0.11,60,50628,8080
1631296140.990249000,,0x00000000,10.1.0.11,10.1.0.2,60,8080,50628
1631296140.990418000,0.000202000,0x00008b0f,10.1.0.2,10.1.0.11,52,50628,8080
1631296140.990462000,0.000202000,0x00008b10,10.1.0.2,10.1.0.11,239,50628,8080
1631296140.990462000,0.000202000,0x00008b11,10.1.0.2,10.1.0.11,371,50628,8080
1631296140.990472000,0.000202000,0x00002e56,10.1.0.11,10.1.0.2,52,8080,50628
1631296140.990477000,0.000202000,0x00002e57,10.1.0.11,10.1.0.2,52,8080,50628
1631296140.991488000,,0x0000ebae,10.1.0.11,8.8.8.8,60,,
1631296140.991496000,,0x0000ebaf,10.1.0.11,8.8.8.8,60,,
1631296141.001692000,,0x00004410,8.8.8.8,10.1.0.11,135,,
1631296141.003352000,,0x0000e3dc,8.8.8.8,10.1.0.11,135,,
1631296141.052805000,0.154402000,0x0000c300,10.1.0.11,10.2.0.12,429,57612,8080
1631296141.205992000,0.154402000,0x0000c514,10.2.0.12,10.1.0.11,52,8080,57612
1631296141.267980000,0.154402000,0x0000c515,10.2.0.12,10.1.0.11,2868,8080,57612
1631296141.267980000,0.154402000,0x0000c517,10.2.0.12,10.1.0.11,2868,8080,57612
1631296141.268096000,0.154402000,0x0000c301,10.1.0.11,10.2.0.12,52,57612,8080
1631296141.268103000,0.154402000,0x0000c302,10.1.0.11,10.2.0.12,52,57612,8080
1631296141.268304000,0.154402000,0x0000c519,10.2.0.12,10.1.0.11,338,8080,57612
1631296141.268324000,0.154402000,0x0000c303,10.1.0.11,10.2.0.12,52,57612,8080
1631296141.272788000,0.126860000,0x0000e85a,10.1.0.11,10.3.0.13,429,34616,8080
1631296141.397713000,0.126860000,0x00001d0c,10.3.0.13,10.1.0.11,52,8080,34616
1631296141.452072000,0.126860000,0x00001d0d,10.3.0.13,10.1.0.11,2868,8080,34616
