frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1631272259.275194000,,0x000046b2,10.2.0.12,8.8.8.8,60,,
1631272259.275252000,,0x000046b3,10.2.0.12,8.8.8.8,60,,
1631272259.275762000,,0x000076df,8.8.8.8,10.2.0.12,135,,
1631272259.275795000,,0x00002562,8.8.8.8,10.2.0.12,135,,
1631272259.276826000,,0x000046b4,10.2.0.12,8.8.8.8,60,,
1631272259.276879000,,0x000046b5,10.2.0.12,8.8.8.8,60,,
1631272259.277805000,,0x00007a15,8.8.8.8,10.2.0.12,135,,
1631272259.277900000,,0x0000bd24,8.8.8.8,10.2.0.12,135,,
1631272260.658238000,,0x00006930,10.2.0.12,169.254.169.254,40,34606,80
1631272260.658691000,,0x00000000,169.254.169.254,10.2.0.12,40,80,34606
1631272264.275246000,,0x00004b76,10.2.0.12,8.8.8.8,60,,
1631272264.275308000,,0x00004b77,10.2.0.12,8.8.8.8,60,,
1631272264.275942000,,0x000015de,8.8.8.8,10.2.0.12,135,,
1631272264.276151000,,0x00000815,8.8.8.8,10.2.0.12,135,,
1631272264.277141000,,0x00004b78,10.2.0.12,8.8.8.8,60,,
1631272264.277197000,,0x00004b79,10.2.0.12,8.8.8.8,60,,
1631272264.277944000,,0x00002ac5,8.8.8.8,10.2.0.12,135,,
1631272264.278089000,,0x0000a78e,8.8.8.8,10.2.0.12,135,,
1631272265.522257000,,0x0000f1b9,10.2.0.12,108.177.97.95,52,43212,443
1631272265.523339000,,0x00000000,108.177.97.95,10.2.0.12,52,443,43212
1631272266.802255000,,0x00009f3d,10.2.0.12,108.177.97.95,52,43216,443
1631272266.803290000,,0x00000000,108.177.97.95,10.2.0.12,52,443,43216
1631272269.275239000,,0x00004cad,10.2.0.12,8.8.8.8,60,,
1631272269.275291000,,0x00004cae,10.2.0.12,8.8.8.8,60,,
1631272269.275823000,,0x0000fedf,8.8.8.8,10.2.0.12,135,,
1631272269.276177000,,0x00000c3d,8.8.8.8,10.2.0.12,135,,
1631272269.277395000,,0x00004caf,10.2.0.12,8.8.8.8,60,,
1631272269.277452000,,0x00004cb0,10.2.0.12,8.8.8.8,60,,
1631272269.278092000,,0x0000f308,8.8.8.8,10.2.0.12,135,,
1631272269.278253000,,0x00006c49,8.8.8.8,10.2.0.12,135,,
1631272271.876035000,,0x00001daa,10.1.0.11,10.2.0.12,60,46772,8080
1631272271.876088000,,0x00000000,10.2.0.12,10.1.0.11,60,8080,46772
1631272272.022104000,0.146069000,0x00001dab,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.022342000,0.146069000,0x00001dac,10.1.0.11,10.2.0.12,429,46772,8080
1631272272.022353000,0.146069000,0x00001d82,10.2.0.12,10.1.0.11,52,8080,46772
1631272272.023010000,,0x00004eb3,10.2.0.12,8.8.8.8,60,,
1631272272.023063000,,0x00004eb4,10.2.0.12,8.8.8.8,60,,
1631272272.023548000,,0x0000c0d3,8.8.8.8,10.2.0.12,135,,
1631272272.028626000,,0x00001f7c,8.8.8.8,10.2.0.12,135,,
1631272272.034215000,,0x00004eb5,10.2.0.12,8.8.8.8,60,,
1631272272.034305000,,0x00004eb6,10.2.0.12,8.8.8.8,60,,
1631272272.034740000,,0x00004d5d,8.8.8.8,10.2.0.12,135,,
1631272272.038349000,,0x0000b324,8.8.8.8,10.2.0.12,135,,
1631272272.043491000,,,,,,,
1631272272.043499000,,,,,,,
1631272272.043502000,,,,,,,
1631272272.043505000,,,,,,,
1631272272.043508000,,,,,,,
1631272272.043511000,,,,,,,
1631272272.043514000,,,,,,,
1631272272.043517000,,,,,,,
1631272272.043519000,,,,,,,
1631272272.043521000,,,,,,,
1631272272.043523000,,,,,,,
1631272272.043525000,,,,,,,
1631272272.043528000,,,,,,,
1631272272.043536000,,,,,,,
1631272272.043568000,,,,,,,
1631272272.043568000,,,,,,,
1631272272.090682000,0.146069000,0x00001d83,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.090690000,0.146069000,0x00001d85,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.090815000,0.146069000,0x00001d87,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.090818000,0.146069000,0x00001d89,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.091964000,0.146069000,0x00001d8b,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.238508000,0.146069000,0x00001dad,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.238508000,0.146069000,0x00001dae,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.238508000,0.146069000,0x00001daf,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.238508000,0.146069000,0x00001db0,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.238561000,0.146069000,0x00001d8d,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.238568000,0.146069000,0x00001d8f,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.238690000,0.146069000,0x00001d91,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.238700000,0.146069000,0x00001d93,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.239570000,0.146069000,0x00001db1,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.239589000,0.146069000,0x00001d95,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.239593000,0.146069000,0x00001d97,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.240754000,0.146069000,0x00001d99,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.240761000,0.146069000,0x00001d9b,10.2.0.12,10.1.0.11,837,8080,46772
1631272272.386402000,0.146069000,0x00001db2,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.386402000,0.146069000,0x00001db3,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.386459000,0.146069000,0x00001db4,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.386459000,0.146069000,0x00001db5,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.387368000,0.146069000,0x00001db6,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.387368000,0.146069000,0x00001db7,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.388478000,0.146069000,0x00001db8,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.388478000,0.146069000,0x00001db9,10.1.0.11,10.2.0.12,52,46772,8080
1631272272.905720000,0.146069000,0x00001dba,10.1.0.11,10.2.0.12,429,46772,8080
1631272272.905769000,0.146069000,0x00001d9c,10.2.0.12,10.1.0.11,52,8080,46772
1631272272.906333000,,0x00004ed2,10.2.0.12,8.8.8.8,60,,
1631272272.906390000,,0x00004ed3,10.2.0.12,8.8.8.8,60,,
1631272272.906921000,,0x0000c29e,8.8.8.8,10.2.0.12,135,,
1631272272.908633000,,0x000028d7,8.8.8.8,10.2.0.12,135,,
1631272272.962334000,0.146069000,0x00001d9d,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.962341000,0.146069000,0x00001d9f,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.962430000,0.146069000,0x00001da1,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.962433000,0.146069000,0x00001da3,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.963967000,0.146069000,0x00001da5,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.963974000,0.146069000,0x00001da7,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.965196000,0.146069000,0x00001da9,10.2.0.12,10.1.0.11,2868,8080,46772
1631272272.965204000,0.146069000,0x00001dab,10.2.0.12,10.1.0.11,1460,8080,46772
1631272273.110264000,0.146069000,0x00001dbb,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.110264000,0.146069000,0x00001dbc,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.110264000,0.146069000,0x00001dbd,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.110264000,0.146069000,0x00001dbe,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.110315000,0.146069000,0x00001dac,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.110323000,0.146069000,0x00001dae,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.110419000,0.146069000,0x00001db0,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.110421000,0.146069000,0x00001db2,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.111660000,0.146069000,0x00001dbf,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.111660000,0.146069000,0x00001dc0,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.111694000,0.146069000,0x00001db4,10.2.0.12,10.1.0.11,2245,8080,46772
1631272273.112835000,0.146069000,0x00001dc1,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.112835000,0.146069000,0x00001dc2,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.258187000,0.146069000,0x00001dc3,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.258187000,0.146069000,0x00001dc4,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.258235000,0.146069000,0x00001dc5,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.258235000,0.146069000,0x00001dc6,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.259401000,0.146069000,0x00001dc7,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.627867000,0.146069000,0x00001dc8,10.1.0.11,10.2.0.12,429,46772,8080
1631272273.627924000,0.146069000,0x00001db6,10.2.0.12,10.1.0.11,52,8080,46772
1631272273.628932000,,0x00004f45,10.2.0.12,8.8.8.8,60,,
1631272273.629012000,,0x00004f46,10.2.0.12,8.8.8.8,60,,
1631272273.629555000,,0x000086ec,8.8.8.8,10.2.0.12,135,,
1631272273.629962000,,0x0000a049,8.8.8.8,10.2.0.12,135,,
1631272273.693117000,0.146069000,0x00001db7,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.693124000,0.146069000,0x00001db9,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.693253000,0.146069000,0x00001dbb,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.693257000,0.146069000,0x00001dbd,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.694432000,0.146069000,0x00001dbf,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.694445000,0.146069000,0x00001dc1,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.695681000,0.146069000,0x00001dc3,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.695691000,0.146069000,0x00001dc5,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.696975000,0.146069000,0x00001dc7,10.2.0.12,10.1.0.11,1460,8080,46772
1631272273.841014000,0.146069000,0x00001dc9,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.841014000,0.146069000,0x00001dca,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.841015000,0.146069000,0x00001dcb,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.841015000,0.146069000,0x00001dcc,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.841079000,0.146069000,0x00001dc8,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.841088000,0.146069000,0x00001dca,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.841261000,0.146069000,0x00001dcc,10.2.0.12,10.1.0.11,2868,8080,46772
1631272273.841274000,0.146069000,0x00001dce,10.2.0.12,10.1.0.11,2245,8080,46772
1631272273.842226000,0.146069000,0x00001dcd,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.842226000,0.146069000,0x00001dce,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.843464000,0.146069000,0x00001dcf,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.843464000,0.146069000,0x00001dd0,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.844652000,0.146069000,0x00001dd1,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.988921000,0.146069000,0x00001dd2,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.988921000,0.146069000,0x00001dd3,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.988977000,0.146069000,0x00001dd4,10.1.0.11,10.2.0.12,52,46772,8080
1631272273.988977000,0.146069000,0x00001dd5,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.275127000,,0x00004f51,10.2.0.12,8.8.8.8,60,,
1631272274.275178000,,0x00004f52,10.2.0.12,8.8.8.8,60,,
1631272274.275602000,,0x0000e283,8.8.8.8,10.2.0.12,135,,
1631272274.276266000,,0x0000ef06,8.8.8.8,10.2.0.12,135,,
1631272274.277372000,,0x00004f53,10.2.0.12,8.8.8.8,60,,
1631272274.277424000,,0x00004f54,10.2.0.12,8.8.8.8,60,,
1631272274.277923000,,0x00003c10,8.8.8.8,10.2.0.12,135,,
1631272274.278385000,,0x00009698,8.8.8.8,10.2.0.12,135,,
1631272274.367210000,0.146069000,0x00001dd6,10.1.0.11,10.2.0.12,429,46772,8080
1631272274.367261000,0.146069000,0x00001dd0,10.2.0.12,10.1.0.11,52,8080,46772
1631272274.367834000,,0x00004f62,10.2.0.12,8.8.8.8,60,,
1631272274.367887000,,0x00004f63,10.2.0.12,8.8.8.8,60,,
1631272274.368391000,,0x00007a19,8.8.8.8,10.2.0.12,135,,
1631272274.368838000,,0x0000e47b,8.8.8.8,10.2.0.12,135,,
1631272274.420672000,0.146069000,0x00001dd1,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.420688000,0.146069000,0x00001dd3,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.420816000,0.146069000,0x00001dd5,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.420820000,0.146069000,0x00001dd7,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.422189000,0.146069000,0x00001dd9,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.422195000,0.146069000,0x00001ddb,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.423608000,0.146069000,0x00001ddd,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.423618000,0.146069000,0x00001ddf,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.424780000,0.146069000,0x00001de1,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.424789000,0.146069000,0x00001de3,10.2.0.12,10.1.0.11,1460,8080,46772
1631272274.568564000,0.146069000,0x00001dd7,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.568564000,0.146069000,0x00001dd8,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.568564000,0.146069000,0x00001dd9,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.568564000,0.146069000,0x00001dda,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.568616000,0.146069000,0x00001de4,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.568623000,0.146069000,0x00001de6,10.2.0.12,10.1.0.11,2868,8080,46772
1631272274.568717000,0.146069000,0x00001de8,10.2.0.12,10.1.0.11,2245,8080,46772
1631272274.569965000,0.146069000,0x00001ddb,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.569965000,0.146069000,0x00001ddc,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.571296000,0.146069000,0x00001ddd,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.571296000,0.146069000,0x00001dde,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.572447000,0.146069000,0x00001ddf,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.572447000,0.146069000,0x00001de0,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.716458000,0.146069000,0x00001de1,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.716459000,0.146069000,0x00001de2,10.1.0.11,10.2.0.12,52,46772,8080
1631272274.716459000,0.146069000,0x00001de3,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.086555000,0.146069000,0x00001de4,10.1.0.11,10.2.0.12,429,46772,8080
1631272275.086603000,0.146069000,0x00001dea,10.2.0.12,10.1.0.11,52,8080,46772
1631272275.087200000,,0x00004fe9,10.2.0.12,8.8.8.8,60,,
1631272275.087264000,,0x00004fea,10.2.0.12,8.8.8.8,60,,
1631272275.087718000,,0x000021fb,8.8.8.8,10.2.0.12,135,,
1631272275.087755000,,0x00008a86,8.8.8.8,10.2.0.12,135,,
1631272275.142108000,0.146069000,0x00001deb,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.142114000,0.146069000,0x00001ded,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.142200000,0.146069000,0x00001def,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.142203000,0.146069000,0x00001df1,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.143463000,0.146069000,0x00001df3,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.143469000,0.146069000,0x00001df5,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.144713000,0.146069000,0x00001df7,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.144721000,0.146069000,0x00001df9,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.145878000,0.146069000,0x00001dfb,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.145885000,0.146069000,0x00001dfd,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.147117000,0.146069000,0x00001dff,10.2.0.12,10.1.0.11,1460,8080,46772
1631272275.289907000,0.146069000,0x00001de5,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.289907000,0.146069000,0x00001de6,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.289956000,0.146069000,0x00001e00,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.289963000,0.146069000,0x00001e02,10.2.0.12,10.1.0.11,2245,8080,46772
1631272275.290002000,0.146069000,0x00001de7,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.290002000,0.146069000,0x00001de8,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.291131000,0.146069000,0x00001de9,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.291131000,0.146069000,0x00001dea,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.292497000,0.146069000,0x00001deb,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.292497000,0.146069000,0x00001dec,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.293506000,0.146069000,0x00001ded,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.293506000,0.146069000,0x00001dee,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.294740000,0.146069000,0x00001def,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.437750000,0.146069000,0x00001df0,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.437750000,0.146069000,0x00001df1,10.1.0.11,10.2.0.12,52,46772,8080
1631272275.834574000,0.146069000,0x00001df2,10.1.0.11,10.2.0.12,429,46772,8080
1631272275.834626000,0.146069000,0x00001e04,10.2.0.12,10.1.0.11,52,8080,46772
1631272275.835236000,,0x00005076,10.2.0.12,8.8.8.8,60,,
1631272275.835295000,,0x00005077,10.2.0.12,8.8.8.8,60,,
1631272275.836111000,,0x000041f6,8.8.8.8,10.2.0.12,135,,
1631272275.836574000,,0x0000162a,8.8.8.8,10.2.0.12,135,,
1631272275.890708000,0.146069000,0x00001e05,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.890717000,0.146069000,0x00001e07,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.890846000,0.146069000,0x00001e09,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.890849000,0.146069000,0x00001e0b,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.892044000,0.146069000,0x00001e0d,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.892052000,0.146069000,0x00001e0f,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.893246000,0.146069000,0x00001e11,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.893255000,0.146069000,0x00001e13,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.894387000,0.146069000,0x00001e15,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.894395000,0.146069000,0x00001e17,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.895745000,0.146069000,0x00001e19,10.2.0.12,10.1.0.11,2868,8080,46772
1631272275.895754000,0.146069000,0x00001e1b,10.2.0.12,10.1.0.11,1460,8080,46772
1631272276.038592000,0.146069000,0x00001df3,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.038592000,0.146069000,0x00001df4,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.038592000,0.146069000,0x00001df5,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.038592000,0.146069000,0x00001df6,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.038641000,0.146069000,0x00001e1c,10.2.0.12,10.1.0.11,2245,8080,46772
1631272276.039763000,0.146069000,0x00001df7,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.039763000,0.146069000,0x00001df8,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.040928000,0.146069000,0x00001df9,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.040928000,0.146069000,0x00001dfa,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.042146000,0.146069000,0x00001dfb,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.042146000,0.146069000,0x00001dfc,10.1.0.11,10.2.0.12,52,46772,8080
1631272276.043440000,0.146069000,0x00001dfd,10.1.0.11,10.2.0.12,52,46772,8080
