frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1631548419.011793000,,0x00000000,169.254.169.254,10.3.0.13,142,,
1631548419.014272000,,0x00000000,169.254.169.254,10.3.0.13,134,,
1631548419.014753000,,0x00009d00,10.3.0.13,91.189.88.185,60,56106,443
1631548419.027707000,,0x00009d44,10.3.0.13,169.254.169.254,40,36366,80
1631548419.028066000,,0x00000000,169.254.169.254,10.3.0.13,40,80,36366
1631548419.059095000,,0x00000000,91.189.88.185,10.3.0.13,60,443,56106
1631548419.059137000,0.044384000,0x00009d01,10.3.0.13,91.189.88.185,52,56106,443
1631548419.059583000,0.044384000,0x00009d02,10.3.0.13,91.189.88.185,569,56106,443
1631548419.103624000,0.044384000,0x0000f788,91.189.88.185,10.3.0.13,2868,443,56106
1631548419.103658000,0.044384000,0x00009d03,10.3.0.13,91.189.88.185,52,56106,443
1631548419.106532000,0.044384000,0x0000f78a,91.189.88.185,10.3.0.13,1845,443,56106
1631548419.106552000,0.044384000,0x00009d04,10.3.0.13,91.189.88.185,52,56106,443
1631548419.107319000,0.044384000,0x00009d05,10.3.0.13,91.189.88.185,132,56106,443
1631548419.107424000,0.044384000,0x00009d06,10.3.0.13,91.189.88.185,257,56106,443
1631548419.151161000,0.044384000,0x0000f78c,91.189.88.185,10.3.0.13,323,443,56106
1631548419.151199000,0.044384000,0x00009d07,10.3.0.13,91.189.88.185,52,56106,443
1631548419.151399000,0.044384000,0x0000f78d,91.189.88.185,10.3.0.13,323,443,56106
1631548419.151406000,0.044384000,0x00009d08,10.3.0.13,91.189.88.185,52,56106,443
1631548419.151851000,0.044384000,0x0000f78e,91.189.88.185,10.3.0.13,2868,443,56106
1631548419.151863000,0.044384000,0x00009d09,10.3.0.13,91.189.88.185,52,56106,443
1631548419.154818000,0.044384000,0x0000f790,91.189.88.185,10.3.0.13,2515,443,56106
1631548419.154849000,0.044384000,0x00009d0a,10.3.0.13,91.189.88.185,52,56106,443
1631548419.155753000,,0x00009d0b,10.3.0.13,91.189.88.185,52,56106,443
1631548422.099709000,,0x0000af44,10.3.0.13,142.251.1.95,52,59976,443
1631548422.100748000,,0x00000000,142.251.1.95,10.3.0.13,52,443,59976
1631548422.355702000,,0x00004449,10.3.0.13,142.251.1.95,52,59980,443
1631548422.356631000,,0x00000000,142.251.1.95,10.3.0.13,52,443,59980
1631548423.123697000,,0x0000483c,10.3.0.13,142.251.1.95,52,59978,443
1631548423.124531000,,0x00000000,142.251.1.95,10.3.0.13,52,443,59978
1631548426.503354000,,,,,,,
1631548426.503371000,,,,,,,
1631548436.013613000,,0x00000000,169.254.169.254,10.3.0.13,4455,80,36356
1631548436.013644000,,0x00005a92,10.3.0.13,169.254.169.254,40,36356,80
1631548436.014208000,,0x00005a93,10.3.0.13,169.254.169.254,267,36356,80
1631548436.014405000,,0x00000000,169.254.169.254,10.3.0.13,40,80,36356
1631548436.014501000,,0x00000000,169.254.169.254,10.3.0.13,40,80,36356
1631548437.203699000,,0x0000af45,10.3.0.13,142.251.1.95,52,59976,443
1631548437.204440000,,0x00000000,142.251.1.95,10.3.0.13,52,443,59976
