frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632056701.431339000,,0x00005d3b,10.1.0.2,169.254.169.254,78,,
1632056701.431434000,,0x00005d3c,10.1.0.2,169.254.169.254,78,,
1632056701.434419000,,0x00000000,169.254.169.254,10.1.0.2,134,,
1632056701.434810000,,0x00000000,169.254.169.254,10.1.0.2,142,,
1632056701.435109000,,0x00002204,10.1.0.2,91.189.91.48,60,48028,443
1632056701.467785000,,0x00000000,91.189.91.48,10.1.0.2,60,443,48028
1632056701.467817000,0.032708000,0x00002205,10.1.0.2,91.189.91.48,52,48028,443
1632056701.468222000,0.032708000,0x00002206,10.1.0.2,91.189.91.48,569,48028,443
1632056701.500725000,0.032708000,0x00004939,91.189.91.48,10.1.0.2,2868,443,48028
1632056701.500746000,0.032708000,0x00002207,10.1.0.2,91.189.91.48,52,48028,443
1632056701.502829000,0.032708000,0x0000493b,91.189.91.48,10.1.0.2,1845,443,48028
1632056701.502834000,0.032708000,0x00002208,10.1.0.2,91.189.91.48,52,48028,443
1632056701.503589000,0.032708000,0x00002209,10.1.0.2,91.189.91.48,132,48028,443
1632056701.503670000,0.032708000,0x0000220a,10.1.0.2,91.189.91.48,257,48028,443
1632056701.535753000,0.032708000,0x0000493d,91.189.91.48,10.1.0.2,323,443,48028
1632056701.535783000,0.032708000,0x0000220b,10.1.0.2,91.189.91.48,52,48028,443
1632056701.535921000,0.032708000,0x0000493e,91.189.91.48,10.1.0.2,323,443,48028
1632056701.535927000,0.032708000,0x0000220c,10.1.0.2,91.189.91.48,52,48028,443
1632056701.536283000,0.032708000,0x0000493f,91.189.91.48,10.1.0.2,2868,443,48028
1632056701.536287000,0.032708000,0x0000220d,10.1.0.2,91.189.91.48,52,48028,443
1632056701.538385000,0.032708000,0x00004941,91.189.91.48,10.1.0.2,2515,443,48028
1632056701.538393000,0.032708000,0x0000220e,10.1.0.2,91.189.91.48,52,48028,443
1632056701.539241000,,0x0000220f,10.1.0.2,91.189.91.48,52,48028,443
1632056707.154760000,,0x00004701,10.1.0.2,169.254.169.254,40,48714,80
1632056707.155073000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48714
1632056709.970734000,,0x00009e20,10.1.0.2,142.250.136.95,52,54476,443
1632056709.971683000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056712.274745000,,0x0000d81b,10.1.0.2,142.250.136.95,52,54478,443
1632056712.275360000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056714.362355000,,,,,,,
1632056714.362370000,,,,,,,
1632056723.183770000,,0x00000000,169.254.169.254,10.1.0.2,3799,80,48702
1632056723.183867000,,0x000081ae,10.1.0.2,169.254.169.254,40,48702,80
1632056723.184451000,,0x000081af,10.1.0.2,169.254.169.254,267,48702,80
1632056723.184561000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48702
1632056723.184588000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48702
1632056725.074748000,,0x00009e21,10.1.0.2,142.250.136.95,52,54476,443
1632056725.075523000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056727.378738000,,0x0000d81c,10.1.0.2,142.250.136.95,52,54478,443
1632056727.379344000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056731.330902000,,0x0000697b,10.1.0.2,169.254.169.254,76,,
1632056731.331196000,,0x00000000,169.254.169.254,10.1.0.2,76,,
1632056735.210429000,,0x00000000,169.254.169.254,10.1.0.2,3799,80,48714
1632056735.210524000,,0x00004702,10.1.0.2,169.254.169.254,40,48714,80
1632056735.211201000,,0x00004703,10.1.0.2,169.254.169.254,277,48714,80
1632056735.211317000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48714
1632056735.211317000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48714
1632056740.178723000,,0x00009e22,10.1.0.2,142.250.136.95,52,54476,443
1632056740.179340000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056742.482739000,,0x0000d81d,10.1.0.2,142.250.136.95,52,54478,443
1632056742.483510000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056754.258757000,,0x000081b0,10.1.0.2,169.254.169.254,40,48702,80
1632056754.259102000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48702
1632056755.282768000,,0x00009e23,10.1.0.2,142.250.136.95,52,54476,443
1632056755.283552000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056757.586742000,,0x0000d81e,10.1.0.2,142.250.136.95,52,54478,443
1632056757.587451000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056759.378735000,,,,,,,
1632056759.378916000,,,,,,,
1632056766.546736000,,0x00004704,10.1.0.2,169.254.169.254,40,48714,80
1632056766.547023000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48714
1632056770.386732000,,0x00009e24,10.1.0.2,142.250.136.95,52,54476,443
1632056770.387562000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056772.690743000,,0x0000d81f,10.1.0.2,142.250.136.95,52,54478,443
1632056772.691394000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056774.362128000,,,,,,,
1632056774.362145000,,,,,,,
1632056783.201679000,,0x00000000,169.254.169.254,10.1.0.2,3799,80,48702
1632056783.201769000,,0x000081b1,10.1.0.2,169.254.169.254,40,48702,80
1632056783.202134000,,0x000081b2,10.1.0.2,169.254.169.254,267,48702,80
1632056783.202250000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48702
1632056783.202250000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48702
1632056783.927017000,,0x00000000,142.250.136.95,10.1.0.2,125,443,54476
1632056783.927051000,,0x00009e25,10.1.0.2,142.250.136.95,52,54476,443
1632056783.927218000,,0x00009e26,10.1.0.2,142.250.136.95,76,54476,443
1632056783.927239000,,0x00009e27,10.1.0.2,142.250.136.95,52,54476,443
1632056783.927804000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056783.927997000,,0x0000be4a,10.1.0.2,142.250.136.95,60,54482,443
1632056783.928366000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54476
1632056783.928375000,,0x00009e28,10.1.0.2,142.250.136.95,52,54476,443
1632056783.929124000,,0x00000000,142.250.136.95,10.1.0.2,60,443,54482
1632056783.929150000,0.001153000,0x0000be4b,10.1.0.2,142.250.136.95,52,54482,443
1632056783.929418000,0.001153000,0x0000be4c,10.1.0.2,142.250.136.95,339,54482,443
1632056783.929560000,0.001153000,0x00000000,142.250.136.95,10.1.0.2,52,443,54482
1632056783.930187000,0.001153000,0x00000000,142.250.136.95,10.1.0.2,3152,443,54482
1632056783.930196000,0.001153000,0x0000be4d,10.1.0.2,142.250.136.95,52,54482,443
1632056783.931139000,0.001153000,0x0000be4e,10.1.0.2,142.250.136.95,116,54482,443
1632056783.931191000,0.001153000,0x0000be4f,10.1.0.2,142.250.136.95,129,54482,443
1632056783.931352000,0.001153000,0x00000000,142.250.136.95,10.1.0.2,114,443,54482
1632056783.931359000,0.001153000,0x0000be50,10.1.0.2,142.250.136.95,52,54482,443
1632056783.931409000,0.001153000,0x00000000,142.250.136.95,10.1.0.2,83,443,54482
1632056783.931411000,0.001153000,0x0000be51,10.1.0.2,142.250.136.95,52,54482,443
1632056783.931473000,0.001153000,0x0000be52,10.1.0.2,142.250.136.95,83,54482,443
1632056783.936058000,0.001153000,0x00000000,142.250.136.95,10.1.0.2,52,443,54482
1632056786.088949000,,0x00000000,142.250.136.95,10.1.0.2,125,443,54478
1632056786.088983000,,0x0000d820,10.1.0.2,142.250.136.95,52,54478,443
1632056786.089109000,,0x0000d821,10.1.0.2,142.250.136.95,76,54478,443
1632056786.089130000,,0x0000d822,10.1.0.2,142.250.136.95,52,54478,443
1632056786.089776000,,0x0000fc89,10.1.0.2,142.250.136.95,60,54484,443
1632056786.089790000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056786.090289000,,0x00000000,142.250.136.95,10.1.0.2,60,443,54484
1632056786.090302000,0.000526000,0x0000fc8a,10.1.0.2,142.250.136.95,52,54484,443
1632056786.090336000,,0x00000000,142.250.136.95,10.1.0.2,52,443,54478
1632056786.090341000,,0x0000d823,10.1.0.2,142.250.136.95,52,54478,443
1632056786.090524000,0.000526000,0x0000fc8b,10.1.0.2,142.250.136.95,339,54484,443
1632056786.090649000,0.000526000,0x00000000,142.250.136.95,10.1.0.2,52,443,54484
1632056786.091534000,0.000526000,0x00000000,142.250.136.95,10.1.0.2,3152,443,54484
1632056786.091544000,0.000526000,0x0000fc8c,10.1.0.2,142.250.136.95,52,54484,443
1632056786.092390000,0.000526000,0x0000fc8d,10.1.0.2,142.250.136.95,116,54484,443
1632056786.092477000,0.000526000,0x0000fc8e,10.1.0.2,142.250.136.95,129,54484,443
1632056786.092974000,0.000526000,0x00000000,142.250.136.95,10.1.0.2,114,443,54484
1632056786.092988000,0.000526000,0x0000fc8f,10.1.0.2,142.250.136.95,52,54484,443
1632056786.093040000,0.000526000,0x00000000,142.250.136.95,10.1.0.2,83,443,54484
1632056786.093044000,0.000526000,0x0000fc90,10.1.0.2,142.250.136.95,52,54484,443
1632056786.093133000,0.000526000,0x0000fc91,10.1.0.2,142.250.136.95,83,54484,443
1632056786.098810000,0.000526000,0x00000000,142.250.136.95,10.1.0.2,52,443,54484
1632056795.228475000,,0x00000000,169.254.169.254,10.1.0.2,3799,80,48714
1632056795.228628000,,0x00004705,10.1.0.2,169.254.169.254,40,48714,80
1632056795.229375000,,0x00004706,10.1.0.2,169.254.169.254,277,48714,80
1632056795.229502000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48714
1632056795.229553000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48714
1632056796.146871000,,0x00009c8b,10.1.0.2,169.254.169.254,76,,
1632056796.147126000,,0x00000000,169.254.169.254,10.1.0.2,76,,
1632056799.058741000,0.001153000,0x0000be53,10.1.0.2,142.250.136.95,52,54482,443
1632056799.060642000,0.001153000,0x00000000,142.250.136.95,10.1.0.2,52,443,54482
1632056801.106732000,0.000526000,0x0000fc92,10.1.0.2,142.250.136.95,52,54484,443
1632056801.107579000,0.000526000,0x00000000,142.250.136.95,10.1.0.2,52,443,54484
1632056813.650743000,,0x000081b3,10.1.0.2,169.254.169.254,40,48702,80
1632056813.651081000,,0x00000000,169.254.169.254,10.1.0.2,40,80,48702
1632056814.162755000,0.001153000,0x0000be54,10.1.0.2,142.250.136.95,52,54482,443
