frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632067180.594858000,,0x0000ef72,10.1.0.3,169.254.169.254,78,,
1632067180.594952000,,0x0000ef73,10.1.0.3,169.254.169.254,78,,
1632067180.629004000,,0x00000000,169.254.169.254,10.1.0.3,142,,
1632067180.707028000,,0x00000000,169.254.169.254,10.1.0.3,134,,
1632067180.707548000,,0x0000024c,10.1.0.3,91.189.88.184,60,47408,443
1632067181.715834000,,0x0000024d,10.1.0.3,91.189.88.184,60,47408,443
1632067183.731840000,,0x0000024e,10.1.0.3,91.189.88.184,60,47408,443
1632067185.422831000,,,,,,,
1632067185.422847000,,,,,,,
1632067187.955830000,,0x0000024f,10.1.0.3,91.189.88.184,60,47408,443
1632067196.147796000,,0x00000250,10.1.0.3,91.189.88.184,60,47408,443
1632067198.322454000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36522
1632067198.322540000,,0x00004f1d,10.1.0.3,169.254.169.254,40,36522,80
1632067198.323096000,,0x00004f1e,10.1.0.3,169.254.169.254,277,36522,80
1632067198.323240000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067198.323300000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067199.435099000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36510
1632067199.435219000,,0x0000d9ca,10.1.0.3,169.254.169.254,40,36510,80
1632067199.435571000,,0x0000d9cb,10.1.0.3,169.254.169.254,267,36510,80
1632067199.435726000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067199.435726000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067200.714492000,,0x000050c3,10.1.0.3,91.189.88.185,60,39406,443
1632067201.715801000,,0x000050c4,10.1.0.3,91.189.88.185,60,39406,443
1632067203.731843000,,0x000050c5,10.1.0.3,91.189.88.185,60,39406,443
1632067207.923858000,,0x000050c6,10.1.0.3,91.189.88.185,60,39406,443
1632067216.115827000,,0x000050c7,10.1.0.3,91.189.88.185,60,39406,443
1632067220.724029000,,0x0000785e,10.1.0.3,91.189.91.48,60,40760,443
1632067221.747849000,,0x0000785f,10.1.0.3,91.189.91.48,60,40760,443
1632067223.284006000,,0x00000add,10.1.0.3,169.254.169.254,76,,
1632067223.284393000,,0x00000000,169.254.169.254,10.1.0.3,76,,
1632067223.763841000,,0x00007860,10.1.0.3,91.189.91.48,60,40760,443
1632067225.843836000,,,,,,,
1632067225.844083000,,,,,,,
1632067227.891808000,,0x00007861,10.1.0.3,91.189.91.48,60,40760,443
1632067228.915825000,,0x00004f1f,10.1.0.3,169.254.169.254,40,36522,80
1632067228.916243000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067230.963843000,,0x0000d9cc,10.1.0.3,169.254.169.254,40,36510,80
1632067230.963989000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067236.083827000,,0x00007862,10.1.0.3,91.189.91.48,60,40760,443
1632067240.726266000,,0x00008a93,10.1.0.3,91.189.91.49,60,42146,443
1632067241.747826000,,0x00008a94,10.1.0.3,91.189.91.49,60,42146,443
1632067243.763838000,,0x00008a95,10.1.0.3,91.189.91.49,60,42146,443
1632067245.422595000,,,,,,,
1632067245.422611000,,,,,,,
1632067247.859838000,,0x00008a96,10.1.0.3,91.189.91.49,60,42146,443
1632067256.051870000,,0x00008a97,10.1.0.3,91.189.91.49,60,42146,443
1632067258.341453000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36522
1632067258.341532000,,0x00004f20,10.1.0.3,169.254.169.254,40,36522,80
1632067258.342138000,,0x00004f21,10.1.0.3,169.254.169.254,277,36522,80
1632067258.342284000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067258.342284000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067259.453987000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36510
1632067259.454075000,,0x0000d9cd,10.1.0.3,169.254.169.254,40,36510,80
1632067259.454517000,,0x0000d9ce,10.1.0.3,169.254.169.254,267,36510,80
1632067259.454643000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067259.454757000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067270.128564000,,0x00001989,10.1.0.3,169.254.169.254,79,,
1632067270.128647000,,0x0000198a,10.1.0.3,169.254.169.254,79,,
1632067270.132009000,,0x00000000,169.254.169.254,10.1.0.3,107,,
1632067270.132164000,,0x00000000,169.254.169.254,10.1.0.3,95,,
1632067270.132455000,,0x000042d2,10.1.0.3,142.250.1.95,60,44532,443
1632067271.155859000,,0x000042d3,10.1.0.3,142.250.1.95,60,44532,443
1632067273.171836000,,0x000042d4,10.1.0.3,142.250.1.95,60,44532,443
1632067275.251821000,,,,,,,
1632067275.252001000,,,,,,,
1632067277.299842000,,0x000042d5,10.1.0.3,142.250.1.95,60,44532,443
1632067285.491826000,,0x000042d6,10.1.0.3,142.250.1.95,60,44532,443
1632067287.349984000,,0x000024a7,10.1.0.3,169.254.169.254,76,,
1632067287.350282000,,0x00000000,169.254.169.254,10.1.0.3,76,,
1632067290.355814000,,0x0000d9cf,10.1.0.3,169.254.169.254,40,36510,80
1632067290.355826000,,0x00004f22,10.1.0.3,169.254.169.254,40,36522,80
1632067290.356181000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067290.356181000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067300.464085000,,0x0000f312,10.1.0.3,142.250.1.95,60,44534,443
1632067301.491827000,,0x0000f313,10.1.0.3,142.250.1.95,60,44534,443
1632067301.619838000,,0x000042d7,10.1.0.3,142.250.1.95,60,44532,443
1632067303.507831000,,0x0000f314,10.1.0.3,142.250.1.95,60,44534,443
1632067305.422440000,,,,,,,
1632067305.422455000,,,,,,,
1632067307.763830000,,0x0000f315,10.1.0.3,142.250.1.95,60,44534,443
1632067315.955835000,,0x0000f316,10.1.0.3,142.250.1.95,60,44534,443
1632067318.361216000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36522
1632067318.361254000,,0x00004f23,10.1.0.3,169.254.169.254,40,36522,80
1632067318.361857000,,0x00004f24,10.1.0.3,169.254.169.254,277,36522,80
1632067318.361970000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067318.361970000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067319.472990000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36510
1632067319.473018000,,0x0000d9d0,10.1.0.3,169.254.169.254,40,36510,80
1632067319.473357000,,0x0000d9d1,10.1.0.3,169.254.169.254,267,36510,80
1632067319.473482000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067319.473497000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067332.083847000,,0x0000f317,10.1.0.3,142.250.1.95,60,44534,443
1632067335.411812000,,0x000042d8,10.1.0.3,142.250.1.95,60,44532,443
1632067337.203838000,,,,,,,
1632067337.204082000,,,,,,,
1632067349.747822000,,0x0000d9d2,10.1.0.3,169.254.169.254,40,36510,80
1632067349.747834000,,0x00004f25,10.1.0.3,169.254.169.254,40,36522,80
1632067349.748254000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36510
1632067349.748254000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067365.421944000,,,,,,,
1632067365.421959000,,,,,,,
1632067366.131849000,,0x0000f318,10.1.0.3,142.250.1.95,60,44534,443
1632067378.380759000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36522
1632067378.380794000,,0x00004f26,10.1.0.3,169.254.169.254,40,36522,80
1632067378.381414000,,0x00004f27,10.1.0.3,169.254.169.254,277,36522,80
1632067378.381548000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067378.381567000,,0x00000000,169.254.169.254,10.1.0.3,40,80,36522
1632067379.492501000,,0x00000000,169.254.169.254,10.1.0.3,4034,80,36510
1632067379.492534000,,0x0000d9d3,10.1.0.3,169.254.169.254,40,36510,80
1632067379.492883000,,0x0000d9d4,10.1.0.3,169.254.169.254,267,36510,80
