timestamp,cpu_util_experiment-baseline-with-latency-3-node-instance-2,io_read_experiment-baseline-with-latency-3-node-instance-2,io_write_experiment-baseline-with-latency-3-node-instance-2,iops_read_experiment-baseline-with-latency-3-node-instance-2,iops_write_experiment-baseline-with-latency-3-node-instance-2,cpu_util_experiment-baseline-with-latency-3-node-instance-3,io_read_experiment-baseline-with-latency-3-node-instance-3,io_write_experiment-baseline-with-latency-3-node-instance-3,iops_read_experiment-baseline-with-latency-3-node-instance-3,iops_write_experiment-baseline-with-latency-3-node-instance-3,cpu_util_experiment-baseline-with-latency-3-node-instance-1,io_read_experiment-baseline-with-latency-3-node-instance-1,io_write_experiment-baseline-with-latency-3-node-instance-1,iops_read_experiment-baseline-with-latency-3-node-instance-1,iops_write_experiment-baseline-with-latency-3-node-instance-1,cpu_util_experiment-baseline-with-latency-3-client-instance,io_read_experiment-baseline-with-latency-3-client-instance,io_write_experiment-baseline-with-latency-3-client-instance,iops_read_experiment-baseline-with-latency-3-client-instance,iops_write_experiment-baseline-with-latency-3-client-instance,cpu_util_experiment-baseline-with-latency-3-central-server,io_read_experiment-baseline-with-latency-3-central-server,io_write_experiment-baseline-with-latency-3-central-server,iops_read_experiment-baseline-with-latency-3-central-server,iops_write_experiment-baseline-with-latency-3-central-server
2021-09-19 17:00:00,0.012964939771274922,0,1242755,0,160,0.008510158776795625,0,1210063,0,152,0.010541957694867677,0,1378466,0,190,0.0013425347483850677,0,0,0,0,0.006900617313801168,0,616460,0,51
2021-09-19 16:59:00,0.012796761042842301,0,1224470,0,152,0.008607596658121016,0,1260337,0,157,0.01157292193177426,0,990100,0,107,0.0013454066194896086,0,0,0,0,0.006906662460318576,0,571718,0,43
2021-09-19 16:58:00,0.012546518322345435,0,1426369,0,195,0.008473788856545164,0,1334507,0,168,0.01090193359908606,0,1298049,0,164,0.0012973061312299213,0,0,0,0,0.006879030321187448,0,562944,0,43
2021-09-19 16:57:00,0.012275023431153897,0,1047264,0,107,0.008646008034167589,0,1199827,0,152,0.011299372508684275,0,1215937,0,151,0.0014635790084554401,0,16975,0,3,0.006841752580436377,0,583785,0,48
2021-09-19 16:56:00,0.011407226373626619,0,1265321,0,161,0.00855520218201633,0,1195264,0,148,0.0115590950315962,0,1233844,0,157,0.0013841642145682915,0,15793,0,3,0.0068751425116370035,0,563246,0,44
2021-09-19 16:55:00,0.012230025761934845,0,1317854,0,167,0.008522490652012493,0,1296808,0,182,0.011721368560642513,0,1089998,0,119,0.0013838676278079257,0,0,0,0,0.006965640256333927,0,565186,0,42
2021-09-19 16:54:00,0.012839546284625195,0,1281808,0,162,0.008836561977504686,0,1583351,0,215,0.011057581132666883,0,1271623,0,160,0.001206167926334937,0,0,0,0,0.006916980708065997,0,581573,0,45
2021-09-19 16:53:00,0.01357593795330511,0,1053826,0,109,0.00891527147199677,288,1432664,0,182,0.011592136882637286,0,1477747,0,195,0.0013853479510307428,0,74267,0,10,0.006937132702185048,0,581694,0,45
2021-09-19 16:52:00,0.013550595185492871,10485,1989222,0,244,0.013889719624871096,13526,1754722,2,224,0.011322158507060465,32454,1474798,1,178,0.0050365191643303815,82755,958175,4,146,0.018012328376183006,79282,1191431,3,124
2021-09-19 16:51:00,0.032928955135724414,149259,1774948,7,218,0.02362515311066223,154122,2001075,7,250,0.02687353830630504,127290,2211180,6,269,0.01661890727323225,76989,1149668,3,181,0.012098476969468664,80462,1222993,4,128
2021-09-19 16:50:00,0.014570805239492775,0,1506471,0,193,0.012057911327153666,0,1388403,0,170,0.013782000047484644,0,1515355,0,196,0.0022039191130109733,0,399793,0,62,0.007057504136953696,0,608329,0,47
2021-09-19 16:49:00,0.014132536730638396,0,1539219,0,210,0.008764761290802881,0,1385459,0,166,0.01227816476794743,0,1128221,0,119,0.004102831085000484,0,366505,0,58,0.006922956799299603,0,606145,0,48
