frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632952391.437482000,,0x00000000,185.125.190.18,10.3.0.13,60,443,48974
1632952391.437561000,,0x00000a7e,10.3.0.13,185.125.190.18,52,48974,443
1632952391.437960000,,0x00000a7f,10.3.0.13,185.125.190.18,569,48974,443
1632952391.478824000,,0x00002338,185.125.190.18,10.3.0.13,4148,443,48974
1632952391.478863000,,0x00000a80,10.3.0.13,185.125.190.18,52,48974,443
1632952391.479254000,,0x0000233b,185.125.190.18,10.3.0.13,565,443,48974
1632952391.479266000,,0x00000a81,10.3.0.13,185.125.190.18,52,48974,443
1632952391.480052000,,0x00000a82,10.3.0.13,185.125.190.18,132,48974,443
1632952391.480146000,,0x00000a83,10.3.0.13,185.125.190.18,257,48974,443
1632952391.520634000,,0x0000233c,185.125.190.18,10.3.0.13,323,443,48974
1632952391.520635000,,0x0000233d,185.125.190.18,10.3.0.13,323,443,48974
1632952391.520666000,,0x00000a84,10.3.0.13,185.125.190.18,52,48974,443
1632952391.520686000,,0x00000a85,10.3.0.13,185.125.190.18,52,48974,443
1632952391.521057000,,0x0000233e,185.125.190.18,10.3.0.13,5307,443,48974
1632952391.521057000,,0x00002342,185.125.190.18,10.3.0.13,76,443,48974
1632952391.521071000,,0x00000a86,10.3.0.13,185.125.190.18,52,48974,443
1632952391.521985000,,0x00000a87,10.3.0.13,185.125.190.18,52,48974,443
1632952391.528274000,,0x0000a517,10.0.0.255,10.3.0.13,52,53306,22
1632952391.528301000,,0x0000a518,10.0.0.255,10.3.0.13,88,53306,22
1632952391.546947000,,0x0000a519,10.0.0.255,10.3.0.13,52,53306,22
1632952391.549512000,,0x0000a51a,10.0.0.255,10.3.0.13,52,53306,22
1632952391.549543000,,0x0000a51b,10.0.0.255,10.3.0.13,88,53306,22
1632952391.549576000,,0x0000a51c,10.0.0.255,10.3.0.13,112,53306,22
1632952391.551617000,,0x0000a51d,10.0.0.255,10.3.0.13,52,53306,22
1632952391.604822000,,0x0000b180,10.3.0.13,108.177.14.95,52,46564,443
1632952391.604835000,,0x000041de,10.3.0.13,173.194.73.95,52,54842,443
1632952391.605817000,,0x00000000,108.177.14.95,10.3.0.13,52,443,46564
1632952391.606180000,,0x00000000,173.194.73.95,10.3.0.13,52,443,54842
1632952391.682804000,,0x0000a51e,10.0.0.255,10.3.0.13,52,53306,22
1632952392.360780000,,0x000062fa,10.0.0.4,10.3.0.13,253,53210,27017
1632952392.361997000,,0x00005464,10.3.0.13,10.0.0.4,2868,27017,53210
1632952392.362007000,,0x00005466,10.3.0.13,10.0.0.4,2868,27017,53210
1632952392.362088000,,0x00005468,10.3.0.13,10.0.0.4,2868,27017,53210
1632952392.362092000,,0x0000546a,10.3.0.13,10.0.0.4,2868,27017,53210
1632952392.363474000,,0x0000546c,10.3.0.13,10.0.0.4,2868,27017,53210
1632952392.487211000,,0x000062fb,10.0.0.4,10.3.0.13,52,53210,27017
1632952392.487211000,,0x000062fc,10.0.0.4,10.3.0.13,52,53210,27017
1632952392.487211000,,0x000062fd,10.0.0.4,10.3.0.13,52,53210,27017
1632952392.487211000,,0x000062fe,10.0.0.4,10.3.0.13,52,53210,27017
1632952392.487251000,,0x0000546e,10.3.0.13,10.0.0.4,2868,27017,53210
1632952392.487257000,,0x00005470,10.3.0.13,10.0.0.4,2194,27017,53210
1632952392.488620000,,0x000062ff,10.0.0.4,10.3.0.13,52,53210,27017
1632952392.612441000,,0x00006300,10.0.0.4,10.3.0.13,52,53210,27017
1632952392.612441000,,0x00006301,10.0.0.4,10.3.0.13,52,53210,27017
1632952393.159159000,,0x00000b77,10.3.0.13,10.3.0.13,137,58578,27017
1632952393.159363000,,0x0000e0ab,10.3.0.13,10.3.0.13,336,27017,58578
1632952393.159370000,,0x00000b78,10.3.0.13,10.3.0.13,52,58578,27017
1632952393.557793000,,0x0000126f,10.3.0.13,10.3.0.13,750,27017,58570
1632952393.557804000,,0x00000837,10.3.0.13,10.3.0.13,52,58570,27017
1632952393.621217000,,0x00008a77,10.3.0.13,10.5.0.15,137,59734,27017
1632952393.767196000,,0x0000edd5,10.3.0.13,10.4.0.14,137,36418,27017
1632952393.852333000,,0x0000e21d,10.5.0.15,10.3.0.13,334,27017,59734
1632952393.852371000,,0x00008a78,10.3.0.13,10.5.0.15,52,59734,27017
1632952393.930653000,,0x000039fb,10.2.0.12,10.3.0.13,137,41994,27017
1632952393.930908000,,0x0000ebad,10.3.0.13,10.2.0.12,336,27017,41994
1632952393.956226000,,0x000023bc,10.3.0.13,10.6.0.16,137,54106,27017
1632952394.072255000,,0x00005766,10.4.0.14,10.3.0.13,334,27017,36418
1632952394.072293000,,0x0000edd6,10.3.0.13,10.4.0.14,52,36418,27017
1632952394.215373000,,0x000039fc,10.2.0.12,10.3.0.13,52,41994,27017
1632952394.354659000,,0x0000de0d,10.6.0.16,10.3.0.13,337,27017,54106
1632952394.354695000,,0x000023bd,10.3.0.13,10.6.0.16,52,54106,27017
1632952394.708963000,,0x00009ad2,10.5.0.15,10.3.0.13,749,27017,59740
1632952394.708985000,,0x0000f7c2,10.3.0.13,10.5.0.15,52,59740,27017
1632952394.741135000,,0x0000821d,10.4.0.14,10.3.0.13,137,54758,27017
1632952394.741372000,,0x00009913,10.3.0.13,10.4.0.14,336,27017,54758
1632952394.880716000,,0x00004974,10.3.0.13,10.2.0.12,751,27017,41982
1632952395.045284000,,0x0000821e,10.4.0.14,10.3.0.13,52,54758,27017
1632952395.066496000,,0x00007c58,10.4.0.14,10.3.0.13,749,27017,36428
1632952395.066518000,,0x0000f7d1,10.3.0.13,10.4.0.14,52,36428,27017
1632952395.153403000,,0x0000425a,10.2.0.12,10.3.0.13,52,41982,27017
1632952395.444300000,,0x0000628f,10.6.0.16,10.3.0.13,750,27017,54114
1632952395.444326000,,0x000058a8,10.3.0.13,10.6.0.16,52,54114,27017
1632952395.719513000,,0x0000687b,10.3.0.13,10.4.0.14,751,27017,54752
1632952396.022978000,,0x000014cb,10.4.0.14,10.3.0.13,52,54752,27017
1632952396.351765000,,0x0000a341,10.0.0.4,10.3.0.13,137,53190,27017
1632952396.352009000,,0x00002d64,10.3.0.13,10.0.0.4,336,27017,53190
1632952396.477161000,,0x0000a342,10.0.0.4,10.3.0.13,52,53190,27017
