frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632947368.646262000,,0x00005374,10.0.0.3,169.254.169.254,78,,
1632947368.646364000,,0x00005375,10.0.0.3,169.254.169.254,78,,
1632947368.648837000,,0x00000000,169.254.169.254,10.0.0.3,134,,
1632947368.649199000,,0x00000000,169.254.169.254,10.0.0.3,174,,
1632947368.649523000,,0x00004f74,10.0.0.3,185.125.190.17,60,44144,443
1632947368.759545000,,0x00000000,185.125.190.17,10.0.0.3,60,443,44144
1632947368.759585000,0.110062000,0x00004f75,10.0.0.3,185.125.190.17,52,44144,443
1632947368.759996000,0.110062000,0x00004f76,10.0.0.3,185.125.190.17,569,44144,443
1632947368.869253000,0.110062000,0x000014bc,185.125.190.17,10.0.0.3,4148,443,44144
1632947368.869284000,0.110062000,0x00004f77,10.0.0.3,185.125.190.17,52,44144,443
1632947368.869973000,0.110062000,0x000014bf,185.125.190.17,10.0.0.3,565,443,44144
1632947368.869980000,0.110062000,0x00004f78,10.0.0.3,185.125.190.17,52,44144,443
1632947368.870668000,0.110062000,0x00004f79,10.0.0.3,185.125.190.17,132,44144,443
1632947368.870752000,0.110062000,0x00004f7a,10.0.0.3,185.125.190.17,257,44144,443
1632947368.979997000,0.110062000,0x000014c0,185.125.190.17,10.0.0.3,323,443,44144
1632947368.979997000,0.110062000,0x000014c1,185.125.190.17,10.0.0.3,323,443,44144
1632947368.980031000,0.110062000,0x00004f7b,10.0.0.3,185.125.190.17,52,44144,443
1632947368.980038000,0.110062000,0x00004f7c,10.0.0.3,185.125.190.17,52,44144,443
1632947368.980307000,0.110062000,0x000014c2,185.125.190.17,10.0.0.3,5307,443,44144
1632947368.980307000,0.110062000,0x000014c6,185.125.190.17,10.0.0.3,76,443,44144
1632947368.980307000,,0x000014c7,185.125.190.17,10.0.0.3,52,443,44144
1632947368.980314000,0.110062000,0x00004f7d,10.0.0.3,185.125.190.17,52,44144,443
1632947368.980319000,0.110062000,0x00004f7e,10.0.0.3,185.125.190.17,52,44144,443
1632947368.981093000,0.110062000,0x00004f7f,10.0.0.3,185.125.190.17,52,44144,443
1632947369.149728000,,0x0000284f,10.0.0.3,142.251.6.95,52,48380,443
1632947369.150720000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48380
1632947369.629877000,,0x000053a6,10.0.0.3,169.254.169.254,76,,
1632947369.630029000,,0x00000000,169.254.169.254,10.0.0.3,76,,
1632947371.709709000,,0x0000078d,10.0.0.3,142.251.6.95,52,48384,443
1632947371.710649000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48384
1632947371.965720000,,0x0000d73b,10.0.0.3,142.250.103.95,52,41616,443
1632947371.966607000,,0x00000000,142.250.103.95,10.0.0.3,52,443,41616
1632947374.876005000,,0x00000000,169.254.169.254,10.0.0.3,4253,80,57016
1632947374.876110000,,0x00002f00,10.0.0.3,169.254.169.254,40,57016,80
1632947374.876866000,,0x00002f01,10.0.0.3,169.254.169.254,277,57016,80
1632947374.877146000,,0x00000000,169.254.169.254,10.0.0.3,40,80,57016
1632947374.877156000,,0x00000000,169.254.169.254,10.0.0.3,40,80,57016
1632947377.085727000,,0x0000330a,10.0.0.3,142.251.6.95,52,48382,443
1632947377.086945000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48382
1632947384.253714000,,0x00002850,10.0.0.3,142.251.6.95,52,48380,443
1632947384.254686000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48380
1632947386.813693000,,0x0000078e,10.0.0.3,142.251.6.95,52,48384,443
1632947386.814728000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48384
1632947387.069714000,,0x0000d73c,10.0.0.3,142.250.103.95,52,41616,443
1632947387.070611000,,0x00000000,142.250.103.95,10.0.0.3,52,443,41616
1632947392.189707000,,0x0000330b,10.0.0.3,142.251.6.95,52,48382,443
1632947392.190413000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48382
1632947396.292354000,,0x00001a5e,10.0.0.3,142.250.128.95,60,41738,443
1632947396.293408000,,0x00000000,142.250.128.95,10.0.0.3,60,443,41738
1632947396.293432000,0.001078000,0x00001a5f,10.0.0.3,142.250.128.95,52,41738,443
1632947396.299979000,0.001078000,0x00001a60,10.0.0.3,142.250.128.95,569,41738,443
1632947396.300452000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.301224000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,4822,443,41738
1632947396.301235000,0.001078000,0x00001a61,10.0.0.3,142.250.128.95,52,41738,443
1632947396.302753000,0.001078000,0x00001a62,10.0.0.3,142.250.128.95,132,41738,443
1632947396.302865000,0.001078000,0x00001a63,10.0.0.3,142.250.128.95,147,41738,443
1632947396.302891000,0.001078000,0x00001a64,10.0.0.3,142.250.128.95,87,41738,443
1632947396.303054000,0.001078000,0x00001a65,10.0.0.3,142.250.128.95,7092,41738,443
1632947396.303059000,0.001078000,0x00001a6a,10.0.0.3,142.250.128.95,2868,41738,443
1632947396.303095000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,114,443,41738
1632947396.303102000,0.001078000,0x00001a6c,10.0.0.3,142.250.128.95,5684,41738,443
1632947396.303143000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,83,443,41738
1632947396.303146000,0.001078000,0x00001a70,10.0.0.3,142.250.128.95,2868,41738,443
1632947396.303264000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303264000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303271000,0.001078000,0x00001a72,10.0.0.3,142.250.128.95,12724,41738,443
1632947396.303274000,0.001078000,0x00001a7b,10.0.0.3,142.250.128.95,1460,41738,443
1632947396.303278000,0.001078000,0x00001a7c,10.0.0.3,142.250.128.95,5684,41738,443
1632947396.303334000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303334000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303337000,0.001078000,0x00001a80,10.0.0.3,142.250.128.95,9908,41738,443
1632947396.303340000,0.001078000,0x00001a87,10.0.0.3,142.250.128.95,1460,41738,443
1632947396.303343000,0.001078000,0x00001a88,10.0.0.3,142.250.128.95,5684,41738,443
1632947396.303392000,,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303397000,0.001078000,0x00001a8c,10.0.0.3,142.250.128.95,5684,41738,443
1632947396.303460000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303460000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303464000,0.001078000,0x00001a90,10.0.0.3,142.250.128.95,19764,41738,443
1632947396.303468000,0.001078000,0x00001a9e,10.0.0.3,142.250.128.95,14132,41738,443
1632947396.303523000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303523000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303526000,0.001078000,0x00001aa8,10.0.0.3,142.250.128.95,19764,41738,443
1632947396.303575000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303578000,0.001078000,0x00001ab6,10.0.0.3,142.250.128.95,7398,41738,443
1632947396.303681000,,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303726000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303726000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303798000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.303798000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.304024000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,87,443,41738
1632947396.304046000,0.001078000,0x00001abc,10.0.0.3,142.250.128.95,52,41738,443
1632947396.380902000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,248,443,41738
1632947396.380903000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,86,443,41738
1632947396.380952000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,83,443,41738
1632947396.381019000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,91,443,41738
1632947396.381143000,0.001078000,0x00001abd,10.0.0.3,142.250.128.95,76,41738,443
1632947396.381500000,0.001078000,0x00000000,142.250.128.95,10.0.0.3,52,443,41738
1632947396.382254000,0.001078000,0x00001abe,10.0.0.3,142.250.128.95,52,41738,443
1632947398.077711000,,0x000049be,10.0.0.3,169.254.169.254,40,56998,80
1632947398.078112000,,0x00000000,169.254.169.254,10.0.0.3,40,80,56998
1632947399.357704000,,0x00002851,10.0.0.3,142.251.6.95,52,48380,443
1632947399.358695000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48380
1632947401.917713000,,0x0000078f,10.0.0.3,142.251.6.95,52,48384,443
1632947401.918517000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48384
1632947402.173707000,,0x0000d73d,10.0.0.3,142.250.103.95,52,41616,443
1632947402.174504000,,0x00000000,142.250.103.95,10.0.0.3,52,443,41616
1632947406.269712000,,0x00002f02,10.0.0.3,169.254.169.254,40,57016,80
1632947406.270127000,,0x00000000,169.254.169.254,10.0.0.3,40,80,57016
1632947407.293699000,,0x0000330c,10.0.0.3,142.251.6.95,52,48382,443
1632947407.294826000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48382
1632947414.461699000,,0x00002852,10.0.0.3,142.251.6.95,52,48380,443
1632947414.462372000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48380
1632947417.021684000,,0x00000790,10.0.0.3,142.251.6.95,52,48384,443
1632947417.022530000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48384
1632947417.277713000,,0x0000d73e,10.0.0.3,142.250.103.95,52,41616,443
1632947417.278528000,,0x00000000,142.250.103.95,10.0.0.3,52,443,41616
1632947418.589593000,,,,,,,
1632947418.589607000,,,,,,,
1632947422.397798000,,0x0000330d,10.0.0.3,142.251.6.95,52,48382,443
1632947422.398719000,,0x00000000,142.251.6.95,10.0.0.3,52,443,48382
