frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632910237.187097000,,0x00000000,185.125.190.18,10.3.0.13,60,443,58092
1632910237.187163000,,0x000084c1,10.3.0.13,185.125.190.18,52,58092,443
1632910237.187542000,,0x000084c2,10.3.0.13,185.125.190.18,569,58092,443
1632910237.228147000,,0x0000270c,185.125.190.18,10.3.0.13,4148,443,58092
1632910237.228187000,,0x000084c3,10.3.0.13,185.125.190.18,52,58092,443
1632910237.228807000,,0x0000270f,185.125.190.18,10.3.0.13,565,443,58092
1632910237.228815000,,0x000084c4,10.3.0.13,185.125.190.18,52,58092,443
1632910237.229492000,,0x000084c5,10.3.0.13,185.125.190.18,132,58092,443
1632910237.229577000,,0x000084c6,10.3.0.13,185.125.190.18,257,58092,443
1632910237.269918000,,0x00002710,185.125.190.18,10.3.0.13,323,443,58092
1632910237.269918000,,0x00002711,185.125.190.18,10.3.0.13,323,443,58092
1632910237.269954000,,0x000084c7,10.3.0.13,185.125.190.18,52,58092,443
1632910237.269961000,,0x000084c8,10.3.0.13,185.125.190.18,52,58092,443
1632910237.270095000,,0x00002712,185.125.190.18,10.3.0.13,4276,443,58092
1632910237.270104000,,0x000084c9,10.3.0.13,185.125.190.18,52,58092,443
1632910237.270119000,,0x00002715,185.125.190.18,10.3.0.13,1083,443,58092
1632910237.270119000,,0x00002716,185.125.190.18,10.3.0.13,76,443,58092
1632910237.270120000,,0x00002717,185.125.190.18,10.3.0.13,52,443,58092
1632910237.270128000,,0x000084ca,10.3.0.13,185.125.190.18,52,58092,443
1632910237.270131000,,0x000084cb,10.3.0.13,185.125.190.18,52,58092,443
1632910237.270912000,,0x000084cc,10.3.0.13,185.125.190.18,52,58092,443
1632910237.282382000,,0x00004ae8,10.0.0.255,10.3.0.13,52,47122,22
1632910237.282510000,,0x00004ae9,10.0.0.255,10.3.0.13,88,47122,22
1632910237.298151000,,0x00004aea,10.0.0.255,10.3.0.13,52,47122,22
1632910237.299545000,,0x00004aeb,10.0.0.255,10.3.0.13,52,47122,22
1632910237.299570000,,0x00004aec,10.0.0.255,10.3.0.13,88,47122,22
1632910237.299570000,,0x00004aed,10.0.0.255,10.3.0.13,112,47122,22
1632910237.301191000,,0x00004aee,10.0.0.255,10.3.0.13,52,47122,22
1632910237.325367000,,0x00003dce,10.3.0.13,8.8.8.8,60,,
1632910237.325418000,,0x00003dcf,10.3.0.13,8.8.8.8,60,,
1632910237.325905000,,0x000021e9,8.8.8.8,10.3.0.13,135,,
1632910237.326058000,,0x000095b5,8.8.8.8,10.3.0.13,135,,
1632910237.327756000,,0x00003dd0,10.3.0.13,8.8.8.8,60,,
1632910237.327811000,,0x00003dd1,10.3.0.13,8.8.8.8,60,,
1632910237.328208000,,0x00002ffb,8.8.8.8,10.3.0.13,135,,
1632910237.329035000,,0x0000bef0,8.8.8.8,10.3.0.13,135,,
1632910237.431499000,,0x00004aef,10.0.0.255,10.3.0.13,52,47122,22
1632910240.293128000,,0x0000ce0e,10.3.0.13,64.233.164.95,52,43470,443
1632910240.293961000,,0x00000000,64.233.164.95,10.3.0.13,52,443,43470
1632910242.325383000,,0x00003e9c,10.3.0.13,8.8.8.8,60,,
1632910242.325439000,,0x00003e9d,10.3.0.13,8.8.8.8,60,,
1632910242.325864000,,0x00008452,8.8.8.8,10.3.0.13,135,,
1632910242.326239000,,0x00008b81,8.8.8.8,10.3.0.13,135,,
1632910242.328118000,,0x00003e9e,10.3.0.13,8.8.8.8,60,,
1632910242.328166000,,0x00003e9f,10.3.0.13,8.8.8.8,60,,
1632910242.328754000,,0x0000be03,8.8.8.8,10.3.0.13,135,,
1632910242.328971000,,0x0000ae89,8.8.8.8,10.3.0.13,135,,
1632910242.341091000,,0x00009419,10.3.0.13,64.233.164.95,52,43472,443
1632910242.341970000,,0x00000000,64.233.164.95,10.3.0.13,52,443,43472
1632910244.817278000,,0x0000da1d,10.3.0.13,169.254.169.254,76,,
1632910244.817594000,,0x00000000,169.254.169.254,10.3.0.13,76,,
1632910247.325387000,,0x000042ad,10.3.0.13,8.8.8.8,60,,
1632910247.325441000,,0x000042ae,10.3.0.13,8.8.8.8,60,,
1632910247.325925000,,0x0000116c,8.8.8.8,10.3.0.13,135,,
1632910247.326016000,,0x000097d5,8.8.8.8,10.3.0.13,135,,
1632910247.327877000,,0x000042af,10.3.0.13,8.8.8.8,60,,
1632910247.327923000,,0x000042b0,10.3.0.13,8.8.8.8,60,,
1632910247.328326000,,0x0000e820,8.8.8.8,10.3.0.13,135,,
1632910247.328471000,,0x0000f546,8.8.8.8,10.3.0.13,135,,
1632910247.717138000,,0x0000a40d,10.3.0.13,64.233.165.95,52,47410,443
1632910247.718057000,,0x00000000,64.233.165.95,10.3.0.13,52,443,47410
1632910252.325455000,,0x00004423,10.3.0.13,8.8.8.8,60,,
1632910252.325523000,,0x00004424,10.3.0.13,8.8.8.8,60,,
1632910252.325903000,,0x00001773,8.8.8.8,10.3.0.13,135,,
1632910252.325971000,,0x0000957e,8.8.8.8,10.3.0.13,135,,
1632910252.327890000,,0x00004425,10.3.0.13,8.8.8.8,60,,
1632910252.327942000,,0x00004426,10.3.0.13,8.8.8.8,60,,
1632910252.328426000,,0x000088d1,8.8.8.8,10.3.0.13,135,,
1632910252.328426000,,0x00008700,8.8.8.8,10.3.0.13,135,,
1632910255.397123000,,0x0000ce0f,10.3.0.13,64.233.164.95,52,43470,443
1632910255.397905000,,0x00000000,64.233.164.95,10.3.0.13,52,443,43470
1632910257.325380000,,0x000047a9,10.3.0.13,8.8.8.8,60,,
1632910257.325430000,,0x000047aa,10.3.0.13,8.8.8.8,60,,
1632910257.325998000,,0x000090b2,8.8.8.8,10.3.0.13,135,,
1632910257.326235000,,0x0000e7ce,8.8.8.8,10.3.0.13,135,,
1632910257.328085000,,0x000047ab,10.3.0.13,8.8.8.8,60,,
1632910257.328152000,,0x000047ac,10.3.0.13,8.8.8.8,60,,
1632910257.328581000,,0x00007d6b,8.8.8.8,10.3.0.13,135,,
1632910257.328641000,,0x00002c54,8.8.8.8,10.3.0.13,135,,
1632910257.445141000,,0x0000941a,10.3.0.13,64.233.164.95,52,43472,443
1632910257.446273000,,0x00000000,64.233.164.95,10.3.0.13,52,443,43472
1632910260.517106000,,,,,,,
1632910260.517281000,,,,,,,
1632910261.537936000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,43066
1632910261.537936000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,43066
1632910261.537936000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,43066
1632910261.537936000,,0x00000000,169.254.169.254,10.3.0.13,417,80,43066
1632910261.538064000,,0x00005af4,10.3.0.13,169.254.169.254,40,43066,80
1632910261.538309000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,43056
1632910261.538309000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,43056
1632910261.538309000,,0x00000000,169.254.169.254,10.3.0.13,1460,80,43056
1632910261.538309000,,0x00000000,169.254.169.254,10.3.0.13,417,80,43056
1632910261.538779000,,0x00005af5,10.3.0.13,169.254.169.254,277,43066,80
1632910261.538850000,,0x00000000,169.254.169.254,10.3.0.13,40,80,43066
1632910261.538880000,,0x0000dcf9,10.3.0.13,169.254.169.254,40,43056,80
1632910261.538898000,,0x00000000,169.254.169.254,10.3.0.13,40,80,43066
1632910261.539299000,,0x0000dcfa,10.3.0.13,169.254.169.254,267,43056,80
1632910261.539380000,,0x00000000,169.254.169.254,10.3.0.13,40,80,43056
1632910261.539439000,,0x00000000,169.254.169.254,10.3.0.13,40,80,43056
1632910262.325370000,,0x00004bb4,10.3.0.13,8.8.8.8,60,,
1632910262.325420000,,0x00004bb5,10.3.0.13,8.8.8.8,60,,
1632910262.326279000,,0x0000415c,8.8.8.8,10.3.0.13,135,,
1632910262.326342000,,0x00003835,8.8.8.8,10.3.0.13,135,,
1632910262.328106000,,0x00004bb6,10.3.0.13,8.8.8.8,60,,
1632910262.328171000,,0x00004bb7,10.3.0.13,8.8.8.8,60,,
1632910262.328601000,,0x0000193b,8.8.8.8,10.3.0.13,135,,
1632910262.329277000,,0x000064d7,8.8.8.8,10.3.0.13,135,,
1632910262.821168000,,0x0000a40e,10.3.0.13,64.233.165.95,52,47410,443
1632910262.822114000,,0x00000000,64.233.165.95,10.3.0.13,52,443,47410
1632910267.325399000,,0x00004f47,10.3.0.13,8.8.8.8,60,,
1632910267.325458000,,0x00004f48,10.3.0.13,8.8.8.8,60,,
1632910267.326060000,,0x00001b19,8.8.8.8,10.3.0.13,135,,
1632910267.326364000,,0x000098e5,8.8.8.8,10.3.0.13,135,,
1632910267.328290000,,0x00004f49,10.3.0.13,8.8.8.8,60,,
1632910267.328331000,,0x00004f4a,10.3.0.13,8.8.8.8,60,,
1632910267.328806000,,0x00002439,8.8.8.8,10.3.0.13,135,,
1632910267.329195000,,0x00006024,8.8.8.8,10.3.0.13,135,,
1632910270.501138000,,0x0000ce10,10.3.0.13,64.233.164.95,52,43470,443
1632910270.502089000,,0x00000000,64.233.164.95,10.3.0.13,52,443,43470
1632910272.325364000,,0x00004f78,10.3.0.13,8.8.8.8,60,,
1632910272.325419000,,0x00004f79,10.3.0.13,8.8.8.8,60,,
1632910272.325959000,,0x00002c61,8.8.8.8,10.3.0.13,135,,
1632910272.326015000,,0x000000c8,8.8.8.8,10.3.0.13,135,,
1632910272.327843000,,0x00004f7a,10.3.0.13,8.8.8.8,60,,
1632910272.327903000,,0x00004f7b,10.3.0.13,8.8.8.8,60,,
1632910272.328340000,,0x00006439,8.8.8.8,10.3.0.13,135,,
1632910272.328340000,,0x00006eb9,8.8.8.8,10.3.0.13,135,,
1632910272.549139000,,0x0000941b,10.3.0.13,64.233.164.95,52,43472,443
1632910272.549867000,,0x00000000,64.233.164.95,10.3.0.13,52,443,43472
1632910277.325430000,,0x00005243,10.3.0.13,8.8.8.8,60,,
1632910277.325480000,,0x00005244,10.3.0.13,8.8.8.8,60,,
1632910277.326160000,,0x00001fda,8.8.8.8,10.3.0.13,135,,
1632910277.326242000,,0x00001fdb,8.8.8.8,10.3.0.13,135,,
1632910277.328053000,,0x00005245,10.3.0.13,8.8.8.8,60,,
1632910277.328153000,,0x00005246,10.3.0.13,8.8.8.8,60,,
1632910277.328607000,,0x00002c9a,8.8.8.8,10.3.0.13,135,,
1632910277.329423000,,0x00009c81,8.8.8.8,10.3.0.13,135,,
1632910277.925128000,,0x0000a40f,10.3.0.13,64.233.165.95,52,47410,443
1632910277.926031000,,0x00000000,64.233.165.95,10.3.0.13,52,443,47410
1632910281.239722000,,,,,,,
1632910281.239739000,,,,,,,
1632910282.325393000,,0x000054b7,10.3.0.13,8.8.8.8,60,,
1632910282.325460000,,0x000054b8,10.3.0.13,8.8.8.8,60,,
1632910282.325917000,,0x00006c67,8.8.8.8,10.3.0.13,135,,
1632910282.326040000,,0x0000662f,8.8.8.8,10.3.0.13,135,,
1632910282.327902000,,0x000054b9,10.3.0.13,8.8.8.8,60,,
1632910282.327943000,,0x000054ba,10.3.0.13,8.8.8.8,60,,
1632910282.328377000,,0x000025a8,8.8.8.8,10.3.0.13,135,,
1632910282.329250000,,0x00002f7e,8.8.8.8,10.3.0.13,135,,
1632910285.605126000,,0x0000ce11,10.3.0.13,64.233.164.95,52,43470,443
